districtid,timeid,cases
101,2,18
101,4,24
101,5,222
101,6,664
101,7,161
102,2,12
102,3,1
102,4,3
102,5,69
102,6,111
102,7,35
103,1,1
103,2,457
103,3,414
103,4,340
103,5,571
103,6,1096
103,7,399
104,1,21
104,2,3003
104,3,9154
104,4,8733
104,5,5604
104,6,5002
104,7,832
105,1,7
105,2,34
105,3,78
105,4,311
105,5,4309
105,6,15627
105,7,3644
106,1,1
106,4,37
106,5,190
106,6,362
106,7,37
107,1,5
107,2,145
107,3,192
107,4,174
107,5,1422
107,6,2223
107,7,398
108,2,39
108,3,545
108,4,952
108,5,1057
108,6,1276
108,7,455
109,1,1
109,2,3
109,3,42
109,4,253
109,5,1424
109,6,4046
109,7,515
110,2,35
110,3,119
110,4,346
110,5,891
110,6,2915
110,7,719
111,3,4
111,4,178
111,5,165
111,6,1710
111,7,607
112,2,3
112,4,1
112,5,162
112,6,420
112,7,107
113,2,1
113,3,62
113,4,113
113,5,126
113,6,262
113,7,177
114,1,1
114,2,8
114,3,44
114,4,472
114,5,3372
114,6,3778
114,7,524
115,1,1
115,2,13
115,3,40
115,4,265
115,5,1224
115,6,2299
115,7,553
116,3,62
116,4,55
116,5,133
116,6,597
116,7,109
117,3,146
117,4,136
117,5,180
117,6,757
117,7,253
118,2,28
118,3,198
118,4,340
118,5,1468
118,6,3153
118,7,559
119,3,10
119,4,75
119,5,370
119,6,832
119,7,140
120,1,2
120,2,39
120,3,335
120,4,534
120,5,952
120,6,2175
120,7,602
121,2,26
121,3,35
121,4,79
121,5,463
121,6,1058
121,7,186
122,2,74
122,3,25
122,4,122
122,5,251
122,6,318
122,7,50
123,1,2
123,2,59
123,3,155
123,4,1355
123,5,13128
123,6,26429
123,7,3419
124,2,83
124,3,255
124,4,328
124,5,633
124,6,1033
124,7,167
125,3,25
125,4,44
125,5,261
125,6,521
125,7,293
126,5,4
126,6,43
126,7,5
127,3,17
127,4,12
127,5,43
127,6,337
127,7,71
128,2,1
128,3,40
128,4,86
128,5,493
128,6,2368
128,7,600
129,2,19
129,3,91
129,4,99
129,5,99
129,6,117
129,7,39
130,2,6
130,3,359
130,4,97
130,5,456
130,6,1828
130,7,287
131,2,4
131,3,43
131,4,62
131,5,429
131,6,784
131,7,89
132,2,1
132,3,11
132,4,32
132,5,43
132,6,130
132,7,49
133,2,10
133,3,19
133,4,75
133,5,263
133,6,793
133,7,237
134,2,8
134,3,65
134,4,156
134,5,710
134,6,1752
134,7,249
135,1,1
135,2,130
135,3,1370
135,4,3827
135,5,8568
135,6,9213
135,7,1497
136,2,1
136,3,112
136,4,163
136,5,918
136,6,2133
136,7,534
137,2,8
137,3,87
137,4,135
137,5,734
137,6,2205
137,7,265
139,2,28
139,3,49
139,4,110
139,5,1491
139,6,4535
139,7,667
140,3,16
140,4,67
140,5,19
140,6,172
140,7,30
141,1,1
141,2,14
141,3,27
141,4,224
141,5,357
141,6,274
141,7,65
142,2,9
142,3,76
142,4,39
142,5,386
142,6,1572
142,7,186
143,3,7
143,4,78
143,5,229
143,6,173
143,7,200
144,3,7
144,4,19
144,5,104
144,6,158
144,7,60
145,3,80
145,4,103
145,5,242
145,6,1403
145,7,153
146,2,20
146,3,132
146,4,199
146,5,620
146,6,2729
146,7,510
147,1,3
147,2,10
147,3,35
147,4,786
147,5,5569
147,6,14938
147,7,2063
148,3,50
148,4,77
148,5,1596
148,6,2299
148,7,245
149,3,27
149,4,19
149,5,45
149,6,297
149,7,279
150,3,20
150,4,226
150,5,143
150,6,451
150,7,228
151,2,1
151,3,39
151,4,38
151,5,194
151,6,695
151,7,137
152,3,16
152,4,116
152,5,63
152,6,105
152,7,79
153,3,15
153,4,34
153,5,78
153,6,258
153,7,102
154,2,28
154,3,83
154,4,67
154,5,540
154,6,419
154,7,119
155,2,4
155,3,20
155,4,19
155,5,274
155,6,582
155,7,155
156,1,11
156,2,115
156,3,20
156,4,147
156,5,439
156,6,1447
156,7,150
157,2,3
157,3,109
157,4,121
157,5,383
157,6,1040
157,7,142
158,3,36
158,4,212
158,5,484
158,6,1835
158,7,514
159,2,66
159,3,19
159,4,14
159,5,108
159,6,346
159,7,135
160,2,1
160,3,155
160,4,174
160,5,815
160,6,2475
160,7,492
161,1,1
161,2,83
161,3,148
161,4,628
161,5,1041
161,6,925
161,7,162
162,2,1
162,3,14
162,4,50
162,5,73
162,6,419
162,7,208
163,1,6
163,2,2
163,3,48
163,4,188
163,5,2092
163,6,4201
163,7,678
164,3,8
164,4,89
164,5,315
164,6,1737
164,7,878
165,2,2
165,3,97
165,4,254
165,5,1019
165,6,856
165,7,101
166,2,2
166,3,22
166,4,35
166,5,164
166,6,926
166,7,139
167,3,31
167,4,119
167,5,614
167,6,357
168,2,26
168,3,27
168,4,61
168,5,546
168,6,479
168,7,87
169,3,2
169,4,5
169,5,189
169,6,658
169,7,164
170,2,23
170,3,151
170,4,180
170,5,557
170,6,1498
170,7,220
171,2,2
171,3,45
171,4,45
171,5,257
171,6,2048
171,7,459
172,2,1
172,3,46
172,4,71
172,5,639
172,6,4053
172,7,619
173,2,11
173,3,234
173,4,206
173,5,1258
173,6,3636
173,7,245
174,2,66
174,3,92
174,4,169
174,5,2902
174,6,9000
174,7,1991
175,2,6
175,3,9
175,4,114
175,5,2127
175,6,2537
175,7,779
176,1,18
176,2,97
176,3,218
176,4,4196
176,5,50989
176,6,73581
176,7,15632
178,2,1
178,3,25
178,4,31
178,5,170
178,6,459
178,7,104
179,2,1
179,3,42
179,4,91
179,5,462
179,6,509
179,7,80
180,1,3
180,2,1
180,4,23
180,5,241
180,6,1471
180,7,466
181,1,1
181,2,18
181,3,94
181,4,119
181,5,374
181,6,2026
181,7,555
182,2,5
182,3,155
182,4,322
182,5,2054
182,6,2984
182,7,391
183,2,1
183,3,31
183,4,48
183,5,165
183,6,842
183,7,467
184,2,111
184,3,142
184,4,1377
184,5,941
184,6,1105
184,7,87
185,2,31
185,3,9
185,4,188
185,5,649
185,6,686
185,7,118
186,1,5
186,2,41
186,3,74
186,4,140
186,5,1119
186,6,1441
186,7,254
187,1,25
187,2,11
187,3,106
187,4,113
187,5,382
187,6,1516
187,7,107
188,3,56
188,4,166
188,5,232
188,6,164
188,7,29
189,2,3
189,3,30
189,4,382
189,5,365
189,6,615
189,7,228
190,2,11
190,3,65
190,4,146
