districtid,timeid,cases
101,1,1089
102,1,231
103,1,3278
104,1,32349
105,1,24010
106,1,627
107,1,4559
108,1,4324
109,1,6284
110,1,5025
111,1,2664
112,1,693
113,1,741
114,1,8199
115,1,4395
116,1,956
117,1,1472
118,1,5746
119,1,1427
120,1,4639
121,1,1847
122,1,840
123,1,44547
124,1,2499
125,1,1144
126,1,52
127,1,480
128,1,3588
129,1,464
130,1,3033
131,1,1411
132,1,266
133,1,1397
134,1,2940
135,1,24606
136,1,3861
137,1,3434
139,1,6880
140,1,304
141,1,962
142,1,2268
143,1,687
144,1,348
145,1,1981
146,1,4210
147,1,23404
148,1,4267
149,1,667
150,1,1068
151,1,1104
152,1,379
153,1,487
154,1,1256
155,1,1054
156,1,2329
157,1,1798
158,1,3081
159,1,688
160,1,4112
161,1,2988
162,1,765
163,1,7215
164,1,3027
165,1,2329
166,1,1288
167,1,1121
168,1,1226
169,1,1018
170,1,2629
171,1,2856
172,1,5429
173,1,5590
174,1,14220
175,1,5572
176,1,144731
178,1,790
179,1,1185
180,1,2205
181,1,3187
182,1,5911
183,1,1554
184,1,3763
185,1,1681
186,1,3074
187,1,2260
188,1,647
189,1,1623
190,1,3685
191,1,11437
192,1,4875
193,1,595
194,1,2016
195,1,4753
196,1,381
197,1,2627
198,1,2333
199,1,243
200,1,467
201,1,2175
202,1,1303
203,1,545
204,1,792
205,1,1760
206,1,2797
207,1,2521
208,1,3961
209,1,697
210,1,577
211,1,3044
212,1,1306
213,1,6112
214,1,2612
215,1,484
216,1,398
217,1,398
218,1,16
219,1,2156
220,1,107
221,1,5502
222,1,3583
223,1,525
224,1,113
225,1,316
226,1,883
227,1,27945
228,1,140663
229,1,695
230,1,507
231,1,358
232,1,4809
233,1,4966
234,1,280
235,1,3657
236,1,770
237,1,41634
238,1,999
239,1,425
240,1,1091
241,1,18410
242,1,3634
243,1,13669
244,1,10043
246,1,1200
247,1,1273
248,1,488
249,1,4033
250,1,14597
251,1,1089
252,1,762
253,1,72
254,1,2471
255,1,5471
256,1,1967
257,1,780
258,1,653
259,1,10975
260,1,5137
261,1,246
262,1,1432
263,1,4270
264,1,333
265,1,791
266,1,1438
267,1,574
268,1,3342
269,1,1019
270,1,1421
271,1,12718
272,1,502
273,1,1939
274,1,2338
275,1,1722
276,1,9182
277,1,6922
278,1,237
279,1,1862
280,1,7153
281,1,185
282,1,242
283,1,493
284,1,718
285,1,1146
286,1,4466
287,1,5417
288,1,102
289,1,65704
290,1,56
291,1,227
292,1,1891
293,1,320
294,1,1349
295,1,8482
296,1,7075
297,1,3724
298,1,1053
299,1,2404
300,1,13622
301,1,1448
302,1,1466
303,1,1123
304,1,1193
305,1,1458
306,1,1078
307,1,2023
308,1,1742
309,1,6302
310,1,919
311,1,2960
312,1,1671
313,1,2622
314,1,713
315,1,18544
316,1,1280
317,1,443
318,1,55
319,1,8686
320,1,4852
321,1,9071
322,1,3080
323,1,1049
324,1,2332
325,1,658
326,1,916
327,1,2612
328,1,1748
329,1,2787
330,1,2133
331,1,2960
332,1,10556
333,1,1012
334,1,372
335,1,39432
336,1,2757
337,1,13029
338,1,6214
341,1,1632
342,1,638
343,1,699
344,1,443
345,1,1861
346,1,492
347,1,2840
348,1,5432
349,1,9742
350,1,691
351,1,5077
352,1,2083
353,1,1711
354,1,2814
355,1,2
356,1,1521
357,1,8348
358,1,620
359,1,1870
360,1,14008
361,1,53276
362,1,1855
363,1,601
364,1,1629
365,1,14314
366,1,4738
367,1,2219
368,1,2373
369,1,12404
370,1,472
371,1,4351
372,1,7609
373,1,1487
374,1,30730
375,1,4923
376,1,1375
377,1,4110
378,1,4900
379,1,3276
380,1,497
381,1,1703
382,1,1493
383,1,1574
384,1,559
385,1,3930
386,1,818
387,1,2474
388,1,742
389,1,1409
390,1,1804
391,1,4764
392,1,290
393,1,1584
394,1,1131
395,1,823
396,1,132
397,1,13106
398,1,1948
399,1,4784
400,1,1906
404,1,558
405,1,1357
406,1,1380
407,1,210
408,1,12740
409,1,1553
410,1,523
411,1,6779
412,1,2340
413,1,159
414,1,3
415,1,4590
416,1,32477
417,1,18124
418,1,2366
419,1,337
420,1,1029
421,1,1775
422,1,4203
423,1,1290
424,1,16655
425,1,10099
426,1,1474
427,1,979
428,1,632
429,1,632
430,1,1311
431,1,1199
432,1,5452
433,1,3713
434,1,1801
435,1,5884
436,1,984
437,1,1039
438,1,4813
439,1,530
440,1,1040
441,1,2123
442,1,2302
443,1,2347
444,1,3707
445,1,1006
446,1,1805
447,1,1020
448,1,20617
449,1,1125
450,1,887
451,1,103
452,1,15
453,1,2323
455,1,335
456,1,1663
457,1,1732
458,1,1247
459,1,408
460,1,3910
461,1,181
462,1,25248
463,1,42367
464,1,4933
465,1,435
466,1,435
467,1,7553
468,1,3981
469,1,987
470,1,542
471,1,6151
472,1,4678
473,1,6476
474,1,18025
475,1,2478
476,1,1986
477,1,291
478,1,2289
479,1,48006
480,1,2224
481,1,3564
482,1,1397
483,1,8
484,1,1417
485,1,2630
486,1,1888
487,1,1597
488,1,1075
489,1,9682
490,1,31
491,1,1682
492,1,59
493,1,720
494,1,151
495,1,45
496,1,74
497,1,125
498,1,60
499,1,31501
500,1,11701
501,1,120
503,1,2319
504,1,5033
505,1,14664
506,1,1909
507,1,2265
508,1,3251
509,1,836
510,1,68
511,1,2029
512,1,646
513,1,546
514,1,1689
515,1,165
516,1,10255
517,1,5138
518,1,2515
519,1,33
520,1,2202
521,1,447
522,1,287
523,1,922
524,1,6546
525,1,773
526,1,2576
527,1,1725
528,1,4619
529,1,1518
530,1,7836
531,1,4923
532,1,1711
533,1,1741
534,1,1601
535,1,29
536,1,318
537,1,5707
538,1,1047
539,1,2152
540,1,635
541,1,860
542,1,153706
543,1,425
544,1,2454
545,1,3693
546,1,2526
547,1,6483
548,1,21385
549,1,1350
550,1,4361
551,1,4515
552,1,3179
553,1,1571
554,1,2514
555,1,36239
556,1,3248
557,1,4759
558,1,947
559,1,4202
560,1,2513
561,1,201
562,1,8899
563,1,3169
564,1,475
565,1,572
566,1,682
567,1,528
568,1,44183
569,1,949
570,1,2287
571,1,3319
572,1,1321
573,1,1857
574,1,873
575,1,204
576,1,3854
577,1,67
578,1,37077
579,1,23
580,1,2666
581,1,1265
582,1,745
583,1,819
584,1,7090
585,1,28
586,1,548
587,1,4951
588,1,1858
589,1,27647
590,1,4225
591,1,1616
592,1,2941
593,1,1612
594,1,4430
595,1,293
596,1,1678
597,1,3202
598,1,4261
599,1,5489
600,1,1121
601,1,3872
602,1,1444
603,1,7054
604,1,22304
605,1,738
606,1,2573
607,1,1401
608,1,347
609,1,34
610,1,33
611,1,2551
612,1,416
613,1,329
614,1,28032
615,1,513
616,1,2121
617,1,11289
618,1,14465
619,1,6578
620,1,2807
621,1,480
622,1,194540
623,1,3051
624,1,7034
625,1,4306
626,1,4452
627,1,1638
629,1,1694
630,1,8157
631,1,34041
632,1,2393
633,1,428
634,1,15496
635,1,741
636,1,1889
637,1,902
638,1,5513
639,1,3102
640,1,989
641,1,1259
642,1,3681
643,1,4931
644,1,692
645,1,2100
646,1,3754
647,1,10452
648,1,11428
649,1,11174
650,1,1182
651,1,4829
652,1,5208
653,1,439
654,1,861
655,1,3888
656,1,284
657,1,3332
658,1,4559
659,1,310
660,1,994
661,1,4463
662,1,35978
663,1,772
664,1,1235
665,1,4646
666,1,3617
667,1,931
668,1,30
669,1,12535
670,1,3554
671,1,800
672,1,3215
673,1,1680
674,1,3544
