district,state,districtid
Adilabad,Telangana,101
Agar Malwa,Madhya Pradesh,102
Agra,Uttar Pradesh,103
Ahmedabad,Gujarat,104
Ahmednagar,Maharashtra,105
Aizawl,Mizoram,106
Ajmer,Rajasthan,107
Akola,Maharashtra,108
Alappuzha,Kerala,109
Aligarh,Uttar Pradesh,110
Alipurduar,West Bengal,111
Alirajpur,Madhya Pradesh,112
Almora,Uttarakhand,113
Alwar,Rajasthan,114
Ambala,Haryana,115
Ambedkar Nagar,Uttar Pradesh,116
Amethi,Uttar Pradesh,117
Amravati,Maharashtra,118
Amreli,Gujarat,119
Amritsar,Punjab,120
Amroha,Uttar Pradesh,121
Anand,Gujarat,122
Anantapur,Andhra Pradesh,123
Anantnag,Jammu and Kashmir,124
Angul,Odisha,125
Anjaw,Arunachal Pradesh,126
Anuppur,Madhya Pradesh,127
Araria,Bihar,128
Aravalli,Gujarat,129
Ariyalur,Tamil Nadu,130
Arwal,Bihar,131
Ashoknagar,Madhya Pradesh,132
Auraiya,Uttar Pradesh,133
Aurangabad,Bihar,134
Aurangabad,Maharashtra,135
Ayodhya,Uttar Pradesh,136
Azamgarh,Uttar Pradesh,137
BAGALKOTE,Karnataka,138
Bagalkote,Karnataka,139
Bageshwar,Uttarakhand,140
Baghpat,Uttar Pradesh,141
Bahraich,Uttar Pradesh,142
Baksa,Assam,143
Balaghat,Madhya Pradesh,144
Balangir,Odisha,145
Balasore,Odisha,146
Ballari,Karnataka,147
Ballia,Uttar Pradesh,148
Balod,Chhattisgarh,149
Baloda Bazar,Chhattisgarh,150
Balrampur,Uttar Pradesh,151
Balrampur,Chhattisgarh,152
Bametara,Chhattisgarh,153
Banaskantha,Gujarat,154
Banda,Uttar Pradesh,155
Bandipora,Jammu and Kashmir,156
Banka,Bihar,157
Bankura,West Bengal,158
Banswara,Rajasthan,159
Barabanki,Uttar Pradesh,160
Baramulla,Jammu and Kashmir,161
Baran,Rajasthan,162
Bareilly,Uttar Pradesh,163
Bargarh,Odisha,164
Barmer,Rajasthan,165
Barnala,Punjab,166
Barpeta,Assam,167
Barwani,Madhya Pradesh,168
Bastar,Chhattisgarh,169
Basti,Uttar Pradesh,170
Bathinda,Punjab,171
Beed,Maharashtra,172
Begusarai,Bihar,173
Belagavi,Karnataka,174
Bengaluru Rural,Karnataka,175
Bengaluru Urban,Karnataka,176
Bengaluru urban,Karnataka,177
Betul,Madhya Pradesh,178
Bhadohi,Uttar Pradesh,179
Bhadradri Kothagudem,Telangana,180
Bhadrak,Odisha,181
Bhagalpur,Bihar,182
Bhandara,Maharashtra,183
Bharatpur,Rajasthan,184
Bharuch,Gujarat,185
Bhavnagar,Gujarat,186
Bhilwara,Rajasthan,187
Bhind,Madhya Pradesh,188
Bhiwani,Haryana,189
Bhojpur,Bihar,190
Bhopal,Madhya Pradesh,191
Bidar,Karnataka,192
Bijapur,Chhattisgarh,193
Bijnor,Uttar Pradesh,194
Bikaner,Rajasthan,195
Bilaspur,Himachal Pradesh,196
Bilaspur,Chhattisgarh,197
Birbhum,West Bengal,198
Bishnupur,Manipur,199
Biswanath,Assam,200
Bokaro,Jharkhand,201
Bongaigaon,Assam,202
Botad,Gujarat,203
Boudh,Odisha,204
Budaun,Uttar Pradesh,205
Budgam,Jammu and Kashmir,206
Bulandshahr,Uttar Pradesh,207
Buldhana,Maharashtra,208
Bundi,Rajasthan,209
Burhanpur,Madhya Pradesh,210
Buxar,Bihar,211
CAPF Personnel,Manipur,212
Cachar,Assam,213
Chamarajanagara,Karnataka,214
Chamba,Himachal Pradesh,215
Chamoli,Uttarakhand,216
Champawat,Uttarakhand,217
Champhai,Mizoram,218
