timeid,method,spot,districtid
1,neighborhood,hot,104
1,neighborhood,hot,106
1,neighborhood,hot,147
1,neighborhood,hot,180
1,neighborhood,hot,187
1,neighborhood,hot,208
1,neighborhood,hot,213
1,neighborhood,hot,221
1,neighborhood,hot,260
1,neighborhood,hot,285
1,neighborhood,hot,296
1,neighborhood,hot,297
1,neighborhood,hot,319
1,neighborhood,hot,320
1,neighborhood,hot,335
1,neighborhood,hot,337
1,neighborhood,hot,338
1,neighborhood,hot,361
1,neighborhood,hot,365
1,neighborhood,hot,369
1,neighborhood,hot,378
1,neighborhood,hot,394
1,neighborhood,hot,397
1,neighborhood,hot,422
1,neighborhood,hot,463
1,neighborhood,hot,491
1,neighborhood,hot,505
1,neighborhood,hot,516
1,neighborhood,hot,531
1,neighborhood,hot,544
1,neighborhood,hot,548
1,neighborhood,hot,550
1,neighborhood,hot,560
1,neighborhood,hot,580
1,neighborhood,hot,594
1,neighborhood,hot,604
1,neighborhood,hot,614
1,neighborhood,hot,615
1,neighborhood,hot,622
1,neighborhood,hot,624
1,neighborhood,hot,675
1,neighborhood,hot,688
1,neighborhood,hot,698
1,neighborhood,hot,699
1,neighborhood,cold,707
1,neighborhood,hot,717
1,neighborhood,hot,732
1,neighborhood,hot,749
1,neighborhood,hot,762
1,neighborhood,hot,793
1,neighborhood,hot,794
1,neighborhood,hot,798
1,neighborhood,hot,800
2,neighborhood,hot,103
2,neighborhood,hot,104
2,neighborhood,hot,108
2,neighborhood,cold,109
2,neighborhood,hot,120
2,neighborhood,hot,124
2,neighborhood,cold,130
2,neighborhood,hot,137
2,neighborhood,hot,146
2,neighborhood,hot,154
2,neighborhood,hot,156
2,neighborhood,hot,159
2,neighborhood,hot,170
2,neighborhood,cold,178
2,neighborhood,hot,191
2,neighborhood,hot,201
2,neighborhood,hot,202
2,neighborhood,cold,210
2,neighborhood,hot,211
2,neighborhood,hot,213
2,neighborhood,hot,228
2,neighborhood,hot,237
2,neighborhood,hot,241
2,neighborhood,hot,301
2,neighborhood,cold,304
2,neighborhood,cold,312
2,neighborhood,hot,319
2,neighborhood,hot,325
2,neighborhood,hot,331
2,neighborhood,hot,335
2,neighborhood,cold,345
2,neighborhood,hot,358
2,neighborhood,hot,361
2,neighborhood,hot,365
2,neighborhood,hot,366
2,neighborhood,hot,369
2,neighborhood,hot,371
2,neighborhood,hot,372
2,neighborhood,hot,378
2,neighborhood,hot,380
2,neighborhood,hot,391
2,neighborhood,hot,394
2,neighborhood,hot,397
2,neighborhood,hot,399
2,neighborhood,hot,409
2,neighborhood,hot,416
2,neighborhood,hot,422
2,neighborhood,hot,424
2,neighborhood,hot,432
2,neighborhood,hot,448
2,neighborhood,cold,457
2,neighborhood,hot,469
2,neighborhood,hot,471
2,neighborhood,hot,472
2,neighborhood,hot,474
2,neighborhood,cold,478
2,neighborhood,hot,479
2,neighborhood,hot,484
2,neighborhood,hot,489
2,neighborhood,hot,499
2,neighborhood,hot,500
2,neighborhood,hot,505
2,neighborhood,hot,508
2,neighborhood,hot,525
2,neighborhood,hot,531
2,neighborhood,hot,537
2,neighborhood,hot,544
2,neighborhood,hot,555
2,neighborhood,hot,557
2,neighborhood,hot,558
2,neighborhood,hot,576
2,neighborhood,hot,581
2,neighborhood,cold,601
2,neighborhood,hot,602
2,neighborhood,hot,603
2,neighborhood,hot,604
2,neighborhood,cold,618
2,neighborhood,cold,619
2,neighborhood,cold,620
2,neighborhood,hot,622
2,neighborhood,hot,638
2,neighborhood,hot,647
2,neighborhood,hot,658
2,neighborhood,hot,661
2,neighborhood,hot,662
2,neighborhood,cold,663
2,neighborhood,hot,665
2,neighborhood,hot,677
2,neighborhood,hot,699
2,neighborhood,cold,707
2,neighborhood,hot,713
2,neighborhood,hot,717
2,neighborhood,hot,721
2,neighborhood,hot,736
2,neighborhood,hot,739
2,neighborhood,hot,749
2,neighborhood,hot,750
2,neighborhood,hot,762
2,neighborhood,hot,774
2,neighborhood,hot,779
2,neighborhood,hot,790
2,neighborhood,hot,793
2,neighborhood,hot,797
2,neighborhood,hot,798
2,neighborhood,hot,804
2,neighborhood,cold,806
2,neighborhood,hot,824
3,neighborhood,hot,103
3,neighborhood,hot,104
3,neighborhood,hot,108
3,neighborhood,hot,109
3,neighborhood,cold,111
3,neighborhood,cold,116
3,neighborhood,hot,117
3,neighborhood,cold,119
3,neighborhood,hot,120
3,neighborhood,hot,124
3,neighborhood,hot,130
3,neighborhood,cold,143
3,neighborhood,hot,145
3,neighborhood,hot,146
3,neighborhood,cold,156
3,neighborhood,hot,157
3,neighborhood,hot,160
3,neighborhood,cold,166
3,neighborhood,hot,170
3,neighborhood,cold,172
3,neighborhood,hot,173
3,neighborhood,cold,179
3,neighborhood,hot,182
3,neighborhood,hot,191
3,neighborhood,cold,202
3,neighborhood,cold,209
3,neighborhood,hot,213
3,neighborhood,hot,221
3,neighborhood,cold,225
3,neighborhood,cold,226
3,neighborhood,hot,228
3,neighborhood,hot,239
3,neighborhood,hot,242
3,neighborhood,hot,243
3,neighborhood,cold,249
3,neighborhood,hot,250
3,neighborhood,hot,259
3,neighborhood,hot,260
3,neighborhood,hot,263
3,neighborhood,hot,266
3,neighborhood,hot,268
3,neighborhood,hot,287
3,neighborhood,hot,289
3,neighborhood,hot,292
3,neighborhood,hot,295
3,neighborhood,cold,314
3,neighborhood,hot,315
3,neighborhood,hot,319
3,neighborhood,hot,323
3,neighborhood,hot,327
3,neighborhood,hot,330
3,neighborhood,hot,331
3,neighborhood,hot,335
3,neighborhood,hot,337
3,neighborhood,hot,338
3,neighborhood,hot,342
3,neighborhood,hot,352
3,neighborhood,hot,353
3,neighborhood,hot,354
3,neighborhood,hot,356
3,neighborhood,cold,358
3,neighborhood,hot,361
3,neighborhood,hot,364
3,neighborhood,hot,365
3,neighborhood,hot,366
3,neighborhood,cold,367
3,neighborhood,hot,368
3,neighborhood,hot,369
3,neighborhood,hot,371
3,neighborhood,hot,372
3,neighborhood,hot,374
3,neighborhood,hot,378
3,neighborhood,hot,379
3,neighborhood,hot,385
3,neighborhood,hot,390
3,neighborhood,cold,392
3,neighborhood,hot,397
3,neighborhood,cold,406
3,neighborhood,hot,416
3,neighborhood,hot,422
3,neighborhood,hot,424
3,neighborhood,cold,426
3,neighborhood,cold,427
3,neighborhood,hot,437
3,neighborhood,hot,462
3,neighborhood,hot,463
3,neighborhood,hot,471
3,neighborhood,hot,474
3,neighborhood,hot,476
3,neighborhood,hot,478
3,neighborhood,hot,479
3,neighborhood,cold,481
3,neighborhood,cold,486
3,neighborhood,cold,493
3,neighborhood,hot,499
3,neighborhood,hot,500
3,neighborhood,hot,504
3,neighborhood,hot,505
3,neighborhood,cold,510
3,neighborhood,cold,527
3,neighborhood,hot,531
3,neighborhood,cold,538
3,neighborhood,hot,543
3,neighborhood,hot,555
3,neighborhood,hot,556
3,neighborhood,hot,572
3,neighborhood,hot,587
3,neighborhood,hot,604
3,neighborhood,cold,618
3,neighborhood,cold,620
3,neighborhood,hot,622
3,neighborhood,cold,629
3,neighborhood,hot,638
