timeid,method,spot,districtid
1,neighborhood,cold,102
1,neighborhood,hot,103
1,neighborhood,hot,104
1,neighborhood,cold,117
1,neighborhood,hot,120
1,neighborhood,hot,123
1,neighborhood,cold,126
1,neighborhood,cold,129
1,neighborhood,cold,132
1,neighborhood,cold,134
1,neighborhood,hot,136
1,neighborhood,cold,140
1,neighborhood,cold,141
1,neighborhood,cold,152
1,neighborhood,hot,163
1,neighborhood,hot,164
1,neighborhood,hot,171
1,neighborhood,cold,179
1,neighborhood,hot,182
1,neighborhood,cold,188
1,neighborhood,hot,191
1,neighborhood,hot,197
1,neighborhood,cold,200
1,neighborhood,cold,204
1,neighborhood,hot,213
1,neighborhood,cold,220
1,neighborhood,hot,221
1,neighborhood,cold,225
1,neighborhood,hot,228
1,neighborhood,cold,234
1,neighborhood,hot,237
1,neighborhood,hot,239
1,neighborhood,hot,241
1,neighborhood,hot,243
1,neighborhood,hot,247
1,neighborhood,hot,250
1,neighborhood,cold,254
1,neighborhood,hot,255
1,neighborhood,hot,260
1,neighborhood,cold,261
1,neighborhood,cold,270
1,neighborhood,hot,271
1,neighborhood,hot,277
1,neighborhood,hot,289
1,neighborhood,hot,292
1,neighborhood,hot,295
1,neighborhood,hot,300
1,neighborhood,hot,320
1,neighborhood,hot,321
1,neighborhood,cold,331
1,neighborhood,hot,332
1,neighborhood,hot,335
1,neighborhood,hot,337
1,neighborhood,hot,338
1,neighborhood,cold,344
1,neighborhood,cold,345
1,neighborhood,cold,346
1,neighborhood,hot,348
1,neighborhood,cold,350
1,neighborhood,hot,354
1,neighborhood,hot,361
1,neighborhood,cold,362
1,neighborhood,hot,364
1,neighborhood,hot,365
1,neighborhood,hot,366
1,neighborhood,hot,369
1,neighborhood,cold,370
1,neighborhood,hot,372
1,neighborhood,hot,374
1,neighborhood,hot,378
1,neighborhood,cold,380
1,neighborhood,hot,391
1,neighborhood,cold,392
1,neighborhood,cold,393
1,neighborhood,cold,394
1,neighborhood,cold,395
1,neighborhood,hot,397
1,neighborhood,hot,399
1,neighborhood,cold,405
1,neighborhood,cold,410
1,neighborhood,cold,413
1,neighborhood,hot,416
1,neighborhood,hot,424
1,neighborhood,cold,427
1,neighborhood,hot,432
1,neighborhood,cold,434
1,neighborhood,cold,443
1,neighborhood,hot,448
1,neighborhood,cold,452
