timeid,method,spot,districtid
1,neighborhood,hot,104
1,neighborhood,hot,105
1,neighborhood,hot,313
1,neighborhood,hot,319
1,neighborhood,hot,337
1,neighborhood,hot,359
1,neighborhood,hot,420
1,neighborhood,hot,430
1,neighborhood,hot,592
1,neighborhood,hot,594
1,neighborhood,hot,622
1,neighborhood,hot,661
1,neighborhood,hot,688
1,neighborhood,hot,721
1,neighborhood,hot,749
10,neighborhood,hot,104
10,neighborhood,cold,107
10,neighborhood,hot,109
10,neighborhood,hot,118
10,neighborhood,hot,120
10,neighborhood,hot,132
10,neighborhood,hot,133
10,neighborhood,cold,134
10,neighborhood,hot,154
10,neighborhood,cold,159
10,neighborhood,hot,160
10,neighborhood,hot,166
10,neighborhood,hot,167
10,neighborhood,hot,172
10,neighborhood,hot,187
10,neighborhood,hot,191
10,neighborhood,hot,204
10,neighborhood,hot,205
10,neighborhood,cold,208
10,neighborhood,hot,229
10,neighborhood,hot,234
10,neighborhood,hot,237
10,neighborhood,hot,247
10,neighborhood,cold,249
10,neighborhood,hot,250
10,neighborhood,hot,260
10,neighborhood,hot,263
10,neighborhood,hot,275
10,neighborhood,hot,278
10,neighborhood,hot,295
10,neighborhood,hot,297
10,neighborhood,hot,299
10,neighborhood,hot,301
10,neighborhood,hot,315
10,neighborhood,hot,316
10,neighborhood,hot,319
10,neighborhood,hot,328
10,neighborhood,hot,330
10,neighborhood,hot,333
10,neighborhood,hot,337
10,neighborhood,hot,341
10,neighborhood,cold,345
10,neighborhood,hot,347
10,neighborhood,cold,348
10,neighborhood,cold,350
10,neighborhood,hot,352
10,neighborhood,cold,353
10,neighborhood,hot,354
10,neighborhood,hot,357
10,neighborhood,hot,359
10,neighborhood,hot,361
10,neighborhood,hot,365
10,neighborhood,hot,366
10,neighborhood,hot,369
10,neighborhood,cold,370
10,neighborhood,hot,371
10,neighborhood,hot,376
10,neighborhood,cold,383
10,neighborhood,cold,384
10,neighborhood,hot,385
10,neighborhood,hot,390
10,neighborhood,hot,399
10,neighborhood,hot,400
10,neighborhood,cold,405
10,neighborhood,hot,409
10,neighborhood,hot,416
10,neighborhood,hot,420
10,neighborhood,hot,422
10,neighborhood,cold,423
10,neighborhood,cold,448
10,neighborhood,cold,449
10,neighborhood,hot,457
10,neighborhood,hot,462
10,neighborhood,hot,463
10,neighborhood,hot,469
10,neighborhood,hot,471
10,neighborhood,hot,474
10,neighborhood,hot,478
10,neighborhood,hot,479
10,neighborhood,cold,493
10,neighborhood,cold,510
10,neighborhood,hot,511
10,neighborhood,hot,516
10,neighborhood,hot,518
10,neighborhood,cold,527
10,neighborhood,hot,528
10,neighborhood,hot,531
10,neighborhood,cold,538
10,neighborhood,hot,539
10,neighborhood,hot,543
10,neighborhood,hot,548
10,neighborhood,hot,554
10,neighborhood,hot,556
10,neighborhood,hot,562
10,neighborhood,hot,563
10,neighborhood,hot,594
10,neighborhood,hot,603
10,neighborhood,hot,622
10,neighborhood,hot,625
10,neighborhood,hot,639
10,neighborhood,hot,644
10,neighborhood,hot,646
10,neighborhood,cold,657
10,neighborhood,hot,662
10,neighborhood,hot,663
10,neighborhood,hot,665
10,neighborhood,hot,669
10,neighborhood,hot,670
10,neighborhood,hot,677
10,neighborhood,hot,697
10,neighborhood,hot,699
10,neighborhood,cold,700
10,neighborhood,cold,705
10,neighborhood,hot,708
10,neighborhood,hot,712
10,neighborhood,hot,716
10,neighborhood,hot,718
10,neighborhood,hot,722
10,neighborhood,cold,727
10,neighborhood,hot,736
10,neighborhood,hot,739
10,neighborhood,hot,749
10,neighborhood,hot,759
10,neighborhood,cold,771
10,neighborhood,hot,787
10,neighborhood,hot,790
10,neighborhood,hot,801
10,neighborhood,hot,809
10,neighborhood,hot,817
10,neighborhood,cold,819
11,neighborhood,hot,104
11,neighborhood,hot,108
11,neighborhood,hot,110
11,neighborhood,cold,111
11,neighborhood,hot,115
11,neighborhood,hot,117
11,neighborhood,cold,121
11,neighborhood,hot,124
11,neighborhood,hot,137
11,neighborhood,hot,140
11,neighborhood,hot,145
11,neighborhood,hot,148
11,neighborhood,hot,149
11,neighborhood,hot,153
11,neighborhood,hot,158
11,neighborhood,hot,161
11,neighborhood,hot,162
11,neighborhood,hot,170
11,neighborhood,hot,171
11,neighborhood,hot,184
11,neighborhood,hot,191
11,neighborhood,hot,196
11,neighborhood,hot,198
11,neighborhood,hot,200
11,neighborhood,cold,202
11,neighborhood,cold,219
11,neighborhood,hot,225
11,neighborhood,hot,234
11,neighborhood,hot,239
11,neighborhood,cold,241
11,neighborhood,hot,242
11,neighborhood,hot,247
11,neighborhood,cold,249
11,neighborhood,hot,250
11,neighborhood,hot,260
11,neighborhood,hot,266
11,neighborhood,hot,268
11,neighborhood,hot,277
11,neighborhood,hot,279
11,neighborhood,hot,285
11,neighborhood,hot,289
11,neighborhood,hot,292
11,neighborhood,hot,295
11,neighborhood,hot,297
11,neighborhood,cold,304
11,neighborhood,hot,306
11,neighborhood,hot,308
11,neighborhood,hot,311
11,neighborhood,hot,325
11,neighborhood,hot,335
11,neighborhood,cold,336
11,neighborhood,hot,337
11,neighborhood,cold,338
11,neighborhood,hot,341
11,neighborhood,hot,342
11,neighborhood,hot,354
11,neighborhood,hot,356
11,neighborhood,hot,361
11,neighborhood,hot,365
11,neighborhood,hot,366
11,neighborhood,hot,368
11,neighborhood,hot,369
11,neighborhood,hot,372
11,neighborhood,hot,374
11,neighborhood,hot,384
11,neighborhood,hot,385
11,neighborhood,hot,391
11,neighborhood,cold,394
11,neighborhood,hot,397
11,neighborhood,hot,399
11,neighborhood,hot,415
11,neighborhood,hot,416
11,neighborhood,hot,421
11,neighborhood,hot,441
11,neighborhood,hot,448
11,neighborhood,cold,449
11,neighborhood,hot,457
11,neighborhood,hot,462
11,neighborhood,hot,463
11,neighborhood,hot,470
11,neighborhood,cold,476
11,neighborhood,hot,479
11,neighborhood,hot,537
11,neighborhood,hot,539
11,neighborhood,cold,546
11,neighborhood,hot,548
11,neighborhood,cold,554
11,neighborhood,hot,555
11,neighborhood,cold,571
11,neighborhood,hot,572
11,neighborhood,hot,577
11,neighborhood,hot,590
11,neighborhood,hot,595
11,neighborhood,hot,597
11,neighborhood,hot,602
11,neighborhood,cold,620
11,neighborhood,cold,625
11,neighborhood,hot,638
11,neighborhood,hot,645
11,neighborhood,cold,653
11,neighborhood,cold,659
11,neighborhood,cold,660
11,neighborhood,hot,661
11,neighborhood,hot,664
11,neighborhood,hot,665
11,neighborhood,cold,673
11,neighborhood,cold,677
11,neighborhood,cold,682
11,neighborhood,hot,697
11,neighborhood,hot,709
11,neighborhood,cold,714
11,neighborhood,hot,721
11,neighborhood,cold,723
11,neighborhood,hot,739
11,neighborhood,hot,749
11,neighborhood,hot,759
11,neighborhood,hot,767
11,neighborhood,hot,772
11,neighborhood,hot,774
11,neighborhood,hot,786
11,neighborhood,hot,787
11,neighborhood,hot,790
11,neighborhood,hot,801
12,neighborhood,cold,101
12,neighborhood,cold,102
12,neighborhood,hot,104
12,neighborhood,hot,106
12,neighborhood,hot,108
12,neighborhood,hot,117
12,neighborhood,cold,120
12,neighborhood,hot,123
12,neighborhood,cold,136
12,neighborhood,hot,142
12,neighborhood,hot,145
12,neighborhood,hot,153
12,neighborhood,hot,156
12,neighborhood,cold,162
12,neighborhood,hot,170
12,neighborhood,hot,179
12,neighborhood,hot,184
12,neighborhood,hot,188
12,neighborhood,hot,191
12,neighborhood,hot,200
12,neighborhood,cold,207
12,neighborhood,hot,225
12,neighborhood,hot,228
12,neighborhood,hot,229
12,neighborhood,cold,234
12,neighborhood,hot,236
12,neighborhood,hot,240
12,neighborhood,hot,244
12,neighborhood,hot,247
12,neighborhood,hot,256
12,neighborhood,hot,266
12,neighborhood,hot,275
12,neighborhood,hot,277
12,neighborhood,hot,281
12,neighborhood,cold,283
12,neighborhood,hot,286
12,neighborhood,hot,292
12,neighborhood,cold,294
12,neighborhood,cold,298
12,neighborhood,hot,303
12,neighborhood,hot,315
12,neighborhood,hot,321
12,neighborhood,hot,324
12,neighborhood,hot,327
12,neighborhood,hot,335
12,neighborhood,hot,337
12,neighborhood,hot,341
12,neighborhood,hot,348
12,neighborhood,hot,356
12,neighborhood,hot,357
12,neighborhood,hot,361
12,neighborhood,cold,363
12,neighborhood,hot,365
12,neighborhood,hot,369
12,neighborhood,hot,371
12,neighborhood,hot,372
12,neighborhood,hot,374
12,neighborhood,hot,377
12,neighborhood,hot,378
12,neighborhood,hot,383
12,neighborhood,cold,393
12,neighborhood,cold,394
12,neighborhood,hot,397
12,neighborhood,hot,406
12,neighborhood,hot,419
12,neighborhood,hot,420
12,neighborhood,hot,422
12,neighborhood,hot,424
12,neighborhood,hot,425
12,neighborhood,hot,433
12,neighborhood,hot,437
12,neighborhood,cold,440
12,neighborhood,hot,451
12,neighborhood,hot,452
12,neighborhood,hot,455
12,neighborhood,cold,463
12,neighborhood,hot,464
12,neighborhood,hot,465
12,neighborhood,hot,468
12,neighborhood,hot,475
12,neighborhood,hot,479
12,neighborhood,cold,480
12,neighborhood,hot,481
12,neighborhood,cold,493
12,neighborhood,hot,509
12,neighborhood,hot,514
12,neighborhood,hot,521
12,neighborhood,hot,528
12,neighborhood,hot,536
12,neighborhood,cold,539
12,neighborhood,hot,555
12,neighborhood,cold,558
12,neighborhood,hot,562
12,neighborhood,hot,567
12,neighborhood,hot,572
12,neighborhood,cold,592
12,neighborhood,cold,594
12,neighborhood,cold,597
12,neighborhood,hot,600
12,neighborhood,cold,605
12,neighborhood,hot,608
12,neighborhood,hot,612
12,neighborhood,cold,614
12,neighborhood,hot,618
12,neighborhood,hot,627
12,neighborhood,hot,636
12,neighborhood,hot,638
12,neighborhood,hot,646
12,neighborhood,hot,650
12,neighborhood,cold,652
12,neighborhood,cold,653
12,neighborhood,hot,657
12,neighborhood,hot,659
12,neighborhood,hot,661
12,neighborhood,hot,662
12,neighborhood,hot,664
12,neighborhood,cold,665
12,neighborhood,cold,671
12,neighborhood,cold,677
12,neighborhood,hot,682
12,neighborhood,hot,690
12,neighborhood,hot,697
12,neighborhood,hot,699
12,neighborhood,cold,700
12,neighborhood,cold,702
12,neighborhood,hot,704
12,neighborhood,hot,706
12,neighborhood,hot,709
12,neighborhood,hot,710
12,neighborhood,cold,714
12,neighborhood,hot,720
12,neighborhood,hot,739
12,neighborhood,hot,749
12,neighborhood,hot,757
