districtid,timeid,neighbormean,neighborstdev
101,1,0.40,0.89
101,2,20.20,31.24
101,3,36.60,44.99
101,4,96.60,95.90
101,5,490.00,542.24
101,6,2117.80,2055.85
101,7,797.00,699.27
102,1,1.00,2.24
102,2,38.40,54.51
102,3,157.80,228.69
102,4,110.80,48.53
102,5,237.60,52.33
102,6,559.00,259.18
102,7,155.20,126.54
103,1,0.00,0.00
103,2,30.00,46.18
103,3,72.56,48.38
103,4,387.22,400.35
103,5,479.11,364.10
103,6,804.33,443.62
103,7,156.33,109.82
104,1,2.43,4.20
104,2,27.00,25.69
104,3,82.43,68.85
104,4,144.86,112.13
104,5,568.71,335.95
104,6,643.86,430.51
104,7,112.00,80.73
105,1,10.14,17.02
105,2,343.43,493.96
105,3,2461.43,3612.57
105,4,6809.57,10663.03
105,5,20246.14,28474.64
105,6,24491.43,30281.91
105,7,5258.86,6857.81
106,1,0.14,0.38
106,2,0.14,0.38
106,3,8.29,21.92
106,4,23.00,16.64
106,5,180.00,460.44
106,6,664.57,1658.29
106,7,53.86,137.67
107,1,7.17,11.02
107,2,193.83,345.03
107,3,358.50,388.62
107,4,398.67,502.02
107,5,881.67,786.33
107,6,1687.33,1860.80
107,7,377.17,607.71
108,1,1.00,1.73
108,2,16.00,13.11
108,3,81.67,102.26
108,4,205.67,124.56
108,5,998.33,490.70
108,6,2121.33,1018.76
108,7,504.00,116.67
109,1,4.75,5.68
109,2,10.75,7.23
109,3,30.00,7.35
109,4,226.25,46.81
109,5,1286.00,278.63
109,6,2929.25,974.27
109,7,652.50,202.59
110,1,5.25,14.05
110,2,29.75,32.70
110,3,77.62,99.67
110,4,426.00,589.57
110,5,766.38,887.44
110,6,1020.38,782.75
110,7,238.88,214.04
111,1,0.00,0.00
111,2,0.00,0.00
111,3,42.00,30.79
111,4,203.67,154.40
111,5,539.00,373.69
111,6,1516.00,1251.15
111,7,416.67,374.71
112,1,0.00,0.00
112,2,17.17,17.47
112,3,31.67,22.11
112,4,50.50,49.03
112,5,323.83,202.46
112,6,732.83,699.41
112,7,141.83,136.90
113,1,0.17,0.41
113,2,1.67,4.08
113,3,57.50,94.62
113,4,89.50,65.41
113,5,146.17,238.41
113,6,448.83,561.89
113,7,173.17,200.33
114,1,2.83,6.94
114,2,179.67,349.57
114,3,221.83,425.01
114,4,568.33,610.76
114,5,922.17,728.77
114,6,1616.83,1932.40
114,7,414.33,601.38
115,1,1.50,2.81
115,2,27.50,34.84
115,3,20.67,19.61
115,4,111.83,61.72
115,5,528.17,445.57
115,6,2051.00,1415.46
115,7,554.17,260.09
116,1,0.00,0.00
116,2,10.00,10.35
116,3,95.33,32.17
116,4,167.50,52.87
116,5,867.00,463.67
116,6,2551.67,2289.41
116,7,440.67,453.03
117,1,0.00,0.00
117,2,11.20,18.50
117,3,90.20,47.27
117,4,109.20,60.70
117,5,593.20,263.10
117,6,1645.80,639.93
117,7,356.80,153.01
118,1,1.70,3.77
118,2,31.00,41.01
118,3,161.50,199.66
118,4,253.60,357.00
118,5,746.20,989.61
118,6,3179.50,7077.07
118,7,1117.90,2502.90
119,1,3.40,4.22
119,2,22.00,22.17
119,3,47.80,16.98
119,4,86.00,59.65
119,5,771.80,575.92
119,6,1241.80,1072.63
119,7,244.60,272.33
120,1,0.00,0.00
120,2,10.00,5.29
120,3,100.00,66.01
120,4,60.00,23.00
120,5,203.00,71.08
120,6,1113.00,761.36
120,7,229.33,94.48
121,1,3.50,7.61
121,2,53.00,35.89
121,3,132.50,101.86
121,4,367.83,167.55
121,5,831.33,372.95
121,6,1388.67,1076.35
121,7,341.17,254.30
122,1,7.50,9.95
122,2,829.25,1454.32
122,3,2497.50,4450.45
122,4,2547.25,4153.98
122,5,2266.25,2391.17
122,6,2405.75,2240.48
122,7,402.00,381.89
123,1,1.00,1.00
123,2,80.00,138.57
123,3,110.57,114.33
123,4,543.29,482.06
123,5,5768.43,5163.37
