districtid,timeid,neighbormean,neighborstdev
101,1,3558.60,3379.62
102,1,1259.80,602.38
103,1,1929.56,1012.63
104,1,1581.29,946.19
105,1,59621.00,76782.04
106,1,930.00,2285.90
107,1,3904.33,4332.29
108,1,3928.00,1834.72
109,1,5139.50,1367.28
110,1,2564.25,2558.24
111,1,2717.33,2014.05
112,1,1297.83,977.45
113,1,917.00,1151.62
114,1,3926.00,4378.79
115,1,3294.83,2165.36
116,1,4132.17,3222.05
117,1,2806.40,1100.03
118,1,5491.40,10907.21
119,1,2417.40,1978.24
120,1,1715.33,944.42
121,1,3118.00,1742.39
122,1,10955.50,14687.64
123,1,22741.43,18199.87
124,1,2335.44,2974.98
125,1,3070.00,2983.81
126,1,338.00,264.46
127,1,773.67,933.02
128,1,2517.75,1590.54
129,1,1458.00,888.72
130,1,7596.75,5017.16
131,1,6545.17,7828.30
132,1,1084.60,449.21
133,1,3170.00,1786.42
134,1,21855.00,16870.50
136,1,2366.67,1104.28
137,1,3748.50,3492.22
138,1,5080.80,3255.93
140,1,518.33,193.04
141,1,4528.33,2674.07
142,1,2533.80,1199.67
143,1,1610.50,1560.85
144,1,6308.29,13239.88
145,1,1574.00,939.52
146,1,3820.17,2404.98
147,1,16149.62,18896.91
148,1,3355.86,941.10
149,1,2229.00,1881.70
150,1,3405.43,5403.23
151,1,1977.67,1078.73
152,1,937.25,466.80
153,1,4185.83,5765.40
154,1,1291.50,316.13
155,1,726.14,358.27
156,1,3648.80,3598.96
157,1,2189.00,1924.43
158,1,3846.17,2873.75
159,1,917.00,321.46
160,1,6567.14,11022.51
161,1,3576.00,3690.48
162,1,2015.80,2379.20
163,1,3234.00,1057.03
164,1,1673.57,919.03
165,1,4115.00,5220.55
166,1,3860.80,4453.46
167,1,1410.83,1593.95
168,1,7766.33,11675.32
169,1,1559.33,1426.81
170,1,2413.20,1058.08
171,1,1331.50,338.19
172,1,8641.17,7944.85
173,1,6509.40,8850.61
175,1,3663.50,2367.70
177,1,3910.33,1559.70
178,1,1674.20,2285.68
179,1,6542.00,4453.98
180,1,16452.00,26421.48
181,1,3246.50,1197.58
182,1,2503.75,1448.25
183,1,8644.40,15475.71
184,1,2642.14,2667.74
185,1,8083.75,10042.18
186,1,11440.33,18112.81
187,1,1599.83,1471.41
188,1,3011.29,1906.56
189,1,1593.71,1163.60
190,1,6692.83,7744.11
191,1,767.60,247.13
192,1,7382.50,3912.46
193,1,5424.50,7186.87
194,1,3600.62,1800.88
195,1,3056.50,4983.01
196,1,859.60,480.38
197,1,846.00,447.83
198,1,2761.83,1733.80
199,1,533.60,627.05
200,1,2100.17,1489.64
201,1,2299.00,634.85
202,1,837.80,589.54
203,1,8724.00,13317.06
204,1,1954.20,958.62
205,1,3694.00,2222.93
206,1,5787.00,7471.47
207,1,3819.80,3059.41
208,1,7368.43,10449.29
209,1,2150.60,2330.98
210,1,8649.60,12482.30
211,1,3389.60,1270.03
213,1,484.22,565.97
214,1,5416.00,7002.13
215,1,724.67,534.41
216,1,593.17,298.90
217,1,2197.25,1930.41
218,1,225.00,348.26
219,1,3437.20,3290.69
220,1,317.50,152.03
221,1,3702.00,1076.22
222,1,6524.14,13153.06
223,1,794.60,1438.76
224,1,1953.50,3318.25
225,1,2098.25,861.75
226,1,4064.00,3845.53
228,1,22097.50,5619.38
229,1,1340.00,1449.24
230,1,7368.00,14296.33
231,1,2700.17,3111.58
232,1,20553.20,20630.34
233,1,6594.57,5620.79
234,1,879.75,407.04
235,1,18199.00,16368.63
236,1,2720.67,4206.56
237,1,14109.07,13694.02
238,1,1958.12,1838.45
239,1,132.00,90.91
240,1,2207.83,1517.81
241,1,3993.00,1893.60
242,1,2226.00,1559.96
243,1,6346.71,4400.09
244,1,5002.25,6412.81
246,1,14337.00,18823.18
247,1,789.83,425.48
248,1,641.40,220.43
249,1,3798.00,1895.05
250,1,1325.80,2158.59
251,1,1027.00,0.00
252,1,1336.50,1696.17
253,1,13582.00,20812.37
254,1,4310.40,1447.80
255,1,1917.00,1716.66
256,1,6916.33,12615.76
257,1,2882.40,2457.31
258,1,4390.17,4917.72
