districtid,timeid,neighbormean,neighborstdev
101,1,0.20,0.45
101,2,0.00,0.00
101,3,0.00,0.00
101,4,0.40,0.55
101,5,0.80,0.45
101,6,1.40,2.07
101,7,2.00,3.39
101,8,0.80,0.84
101,9,0.80,0.84
101,10,1.80,2.49
101,11,1.20,1.30
101,12,4.60,2.07
101,13,5.20,7.40
101,14,3.60,4.04
101,15,2.20,3.83
101,16,8.60,6.88
101,17,10.20,9.34
101,18,17.20,21.60
101,19,23.60,27.65
101,20,53.80,39.42
101,21,54.00,50.08
101,22,56.40,47.66
101,23,55.60,64.19
101,24,126.00,114.90
102,1,0.00,0.00
102,2,0.20,0.45
102,3,0.20,0.45
102,4,0.80,0.45
102,5,0.80,0.45
102,6,0.40,0.55
102,7,2.60,3.65
102,8,2.60,2.70
102,9,3.40,5.08
102,10,6.60,11.44
102,11,1.60,1.14
102,12,9.20,7.19
102,13,3.40,3.05
102,14,6.20,4.97
102,15,2.40,1.14
102,16,1.80,1.30
102,17,4.80,4.09
102,18,6.80,4.55
102,19,8.60,3.51
102,20,10.00,8.06
102,21,13.40,8.29
102,22,26.80,14.69
102,23,16.00,8.94
102,24,17.80,8.32
103,1,0.00,0.00
103,2,0.00,0.00
103,3,0.56,0.53
103,4,0.44,0.53
103,5,0.44,0.53
103,6,0.56,0.53
103,7,3.11,4.65
103,8,2.89,2.42
103,9,1.44,1.33
103,10,3.44,3.28
103,11,5.89,6.92
103,12,11.44,19.99
103,13,10.67,11.78
103,14,12.67,15.04
103,15,10.00,13.03
103,16,16.33,24.65
103,17,16.89,32.27
103,18,12.67,10.23
103,19,16.56,13.06
103,20,23.67,23.15
103,21,18.78,10.65
103,22,18.44,18.88
103,23,38.56,28.90
103,24,22.67,16.52
104,1,0.14,0.38
104,2,0.43,0.53
104,3,0.29,0.49
104,4,0.57,0.53
104,5,0.86,0.38
104,6,1.00,0.00
104,7,5.57,5.86
104,8,6.71,7.93
104,9,3.43,1.99
104,10,3.14,2.85
104,11,5.00,4.93
104,12,5.14,6.74
104,13,3.71,3.55
104,14,4.57,2.94
104,15,7.86,5.87
104,16,9.29,6.34
104,17,17.71,16.23
104,18,18.86,10.92
104,19,21.14,13.47
104,20,27.57,13.70
104,21,22.29,14.35
104,22,17.86,10.12
104,23,14.71,7.36
104,24,23.14,19.02
105,1,0.29,0.49
105,2,0.29,0.49
105,3,0.57,0.53
105,4,0.57,0.53
105,5,0.57,0.53
105,6,22.14,33.84
105,7,17.29,25.12
105,8,42.29,74.02
105,9,74.14,130.02
105,10,118.86,181.92
105,11,135.86,190.15
105,12,132.71,216.81
105,13,214.00,325.86
105,14,278.86,447.79
105,15,415.57,691.95
105,16,629.43,872.18
105,17,699.71,1056.95
105,18,733.00,1050.86
105,19,779.14,1174.73
105,20,683.29,982.98
105,21,866.14,1011.88
105,22,938.43,1057.53
105,23,928.14,1105.69
105,24,1001.57,1346.13
106,1,0.00,0.00
106,2,0.00,0.00
106,3,0.14,0.38
106,4,0.00,0.00
106,5,0.00,0.00
106,6,0.00,0.00
106,7,0.00,0.00
106,8,0.14,0.38
106,9,0.00,0.00
106,10,0.29,0.76
106,11,0.29,0.76
106,12,0.71,0.76
106,13,5.00,5.77
106,14,2.00,1.41
106,15,0.43,0.53
106,16,0.57,0.79
106,17,0.57,0.79
106,18,37.57,95.01
106,19,16.00,38.86
106,20,20.29,52.79
106,21,24.43,61.99
106,22,48.14,114.54
106,23,21.14,53.74
106,24,23.71,59.22
107,1,0.33,0.52
107,2,0.50,0.55
107,3,0.50,0.55
107,4,0.83,0.41
107,5,0.50,0.55
107,6,0.67,0.52
107,7,3.67,6.06
107,8,6.83,11.89
107,9,3.33,2.94
107,10,10.50,8.09
107,11,14.00,16.35
107,12,8.50,10.21
107,13,7.83,10.34
107,14,3.83,2.40
107,15,3.33,2.94
107,16,5.17,8.77
107,17,10.50,8.85
107,18,25.67,35.99
107,19,24.00,12.68
107,20,29.83,33.96
107,21,61.50,63.63
107,22,27.33,21.00
107,23,38.33,29.22
107,24,33.50,47.82
108,1,0.00,0.00
108,2,0.00,0.00
108,3,1.00,0.00
108,4,0.67,0.58
108,5,0.67,0.58
108,6,2.00,3.46
