districtid,timeid,statemean,statestdev
101,1,2.94,15.00
101,2,26.84,84.03
101,3,33.22,161.21
101,4,422.00,1953.90
101,5,1441.91,4577.33
101,6,1924.88,2259.44
101,7,414.72,352.44
102,1,1.25,6.26
102,2,49.90,211.82
102,3,107.16,312.76
102,4,107.63,248.87
102,5,355.76,638.63
102,6,628.39,1041.38
102,7,154.51,249.95
103,1,1.19,5.24
103,2,22.28,43.98
103,3,73.65,66.28
103,4,203.74,276.74
103,5,829.70,1036.85
103,6,1944.01,2615.13
103,7,391.24,548.67
104,1,1.44,3.23
104,2,38.74,110.93
104,3,95.00,206.57
104,4,205.85,568.53
104,5,681.44,1416.72
104,6,880.62,1418.98
104,7,168.79,272.67
105,1,7.60,24.44
105,2,289.34,1179.23
105,3,1629.89,5680.85
105,4,3050.43,8012.05
105,5,6935.40,15170.27
105,6,10127.23,16225.71
105,7,2502.20,3726.68
106,1,0.00,0.00
106,2,0.00,0.00
106,3,0.00,0.00
106,4,14.50,14.76
106,5,7.25,8.46
106,6,30.00,54.99
106,7,1.75,2.49
107,1,2.06,5.41
107,2,71.88,176.95
107,3,187.28,264.39
107,4,278.00,377.57
107,5,705.53,942.54
107,6,1167.50,1412.21
107,7,227.25,330.52
108,1,7.80,24.40
108,2,289.20,1179.26
108,3,1616.54,5684.02
108,4,3032.11,8017.72
108,5,7028.31,15143.14
108,6,10537.26,16176.71
108,7,2593.31,3714.12
109,1,12.79,27.05
109,2,18.07,22.75
109,3,52.14,41.89
109,4,208.57,116.66
109,5,1267.36,963.71
109,6,3409.00,2830.43
109,7,632.79,458.72
110,1,1.20,5.24
110,2,27.99,66.99
110,3,77.64,77.04
110,4,203.66,276.70
110,5,825.38,1037.26
110,6,1919.43,2614.43
110,7,386.92,547.31
111,1,0.95,2.06
111,2,0.00,0.00
111,3,229.59,447.08
111,4,585.09,908.52
111,5,2339.27,3987.33
111,6,4130.91,4930.10
111,7,650.73,754.36
112,1,1.25,6.26
112,2,50.08,211.79
112,3,107.18,312.75
112,4,107.67,248.85
112,5,353.94,639.33
112,6,622.33,1043.52
112,7,153.10,250.43
113,1,0.50,1.45
113,2,3.83,6.78
113,3,65.67,79.67
113,4,155.08,135.68
113,5,348.00,439.30
113,6,1031.83,1127.11
113,7,329.75,329.40
114,1,2.19,5.43
114,2,76.16,177.01
114,3,191.91,263.09
114,4,268.69,376.30
114,5,644.59,819.60
114,6,1118.91,1344.62
114,7,223.31,327.61
115,1,1.33,2.56
115,2,13.48,17.84
115,3,80.52,162.66
115,4,580.57,1162.69
115,5,913.95,1219.56
115,6,1309.67,961.42
115,7,427.95,297.41
116,1,1.20,5.24
116,2,28.46,66.91
116,3,78.41,77.17
116,4,207.59,276.62
116,5,835.62,1034.07
116,6,1950.76,2612.25
116,7,395.16,547.66
117,1,1.20,5.24
117,2,28.46,66.91
117,3,77.27,76.78
117,4,206.50,277.07
117,5,834.99,1034.49
117,6,1948.59,2613.32
117,7,393.22,548.43
118,1,7.80,24.40
118,2,289.51,1179.19
118,3,1626.46,5681.78
118,4,3049.60,8012.34
118,5,7016.57,15147.74
118,6,10483.63,16205.00
118,7,2590.34,3715.84
119,1,2.06,4.64
119,2,127.06,520.09
119,3,363.94,1566.77
119,4,460.50,1568.22
119,5,835.38,1647.43
119,6,1003.26,1585.14
119,7,189.15,295.34
120,1,1.81,4.30
120,2,18.48,26.16
120,3,68.95,41.87
120,4,131.95,171.25
120,5,457.10,583.95
120,6,1699.90,1786.62
120,7,330.14,302.30
121,1,1.20,5.24
121,2,28.11,66.99
121,3,78.77,77.03
121,4,207.27,276.79
121,5,831.16,1036.41
121,6,1944.53,2614.96
121,7,394.12,548.14
122,1,2.06,4.64
122,2,124.88,520.47
122,3,363.50,1566.87
122,4,459.12,1568.54
122,5,838.88,1646.27
122,6,1018.38,1580.85
122,7,191.79,294.46
123,1,3.33,4.19
123,2,108.33,123.73
123,3,123.67,101.95
123,4,650.42,378.87
123,5,9392.33,4621.61
123,6,22284.08,7457.75
123,7,4095.08,1278.17
124,1,2.74,6.33
124,2,25.05,34.04
124,3,83.00,78.28
124,4,248.58,214.00
124,5,643.63,831.35
124,6,858.21,1047.47
124,7,230.32,367.98
125,1,0.14,0.58
125,2,4.76,10.90
