districtid,timeid,statemean,statestdev
101,1,4266.50,9224.66
102,1,1404.61,2572.94
103,1,3465.82,4322.83
104,1,2071.88,3910.45
105,1,24542.09,45140.86
106,1,53.50,62.90
107,1,2639.50,3196.49
108,1,25104.54,45003.97
109,1,5600.71,4217.15
110,1,3442.22,4318.97
111,1,7936.55,10834.81
112,1,1395.55,2576.31
113,1,1934.67,2023.44
114,1,2525.75,3053.86
115,1,3327.48,3548.22
116,1,3497.20,4312.78
117,1,3490.23,4316.52
118,1,25063.91,45022.60
119,1,2981.35,6496.60
120,1,2708.33,2801.84
121,1,3485.16,4318.69
122,1,2998.62,6491.51
123,1,36657.25,12688.91
124,1,2091.53,2243.10
125,1,4106.07,4691.24
126,1,220.50,352.63
127,1,1399.73,2574.97
128,1,3841.86,3420.00
129,1,3009.68,6487.38
130,1,12238.65,22664.79
131,1,3900.70,3395.66
132,1,1403.92,2573.26
133,1,3491.24,4316.03
134,1,3859.38,3416.91
135,1,24525.06,45140.95
136,1,3457.95,4322.64
137,1,3463.72,4322.89
138,1,9728.27,22633.67
139,1,9556.27,22681.96
140,1,1971.08,1995.16
141,1,3497.12,4312.83
142,1,3479.47,4320.59
143,1,2607.03,5661.74
144,1,1402.31,2573.95
145,1,4077.21,4707.33
146,1,4000.34,4723.26
147,1,9143.17,22573.51
148,1,3452.46,4321.85
149,1,1570.44,2955.65
150,1,1555.59,2959.28
151,1,3495.20,4313.94
152,1,1581.11,2951.70
153,1,1577.11,2953.32
154,1,2986.38,6495.28
155,1,3495.88,4313.56
156,1,2100.47,2244.44
157,1,3890.24,3402.90
158,1,7917.59,10844.06
159,1,2760.47,3193.50
160,1,3454.55,4322.21
161,1,2065.79,2235.04
162,1,2758.06,3195.09
163,1,3412.62,4300.23
164,1,4041.14,4719.66
165,1,2709.19,3213.77
166,1,2867.90,2812.31
167,1,2593.88,5665.81
168,1,1385.10,2578.09
169,1,1557.44,2958.94
170,1,3474.59,4321.77
171,1,2793.24,2833.38
172,1,25072.97,45018.56
173,1,3787.76,3407.39
174,1,9372.77,22672.96
175,1,9588.98,22677.01
176,1,6110.00,5827.15
177,1,9728.27,22633.67
178,1,1393.65,2576.80
179,1,3494.11,4314.55
180,1,4231.62,9234.81
181,1,4035.62,4720.78
182,1,3779.08,3402.23
183,1,25183.69,44963.75
184,1,2664.38,3208.59
185,1,2973.88,6498.28
186,1,2932.91,6502.02
