districtid,timeid,statemean,statestdev
101,1,0.06,0.25
101,2,0.16,0.37
101,3,0.44,0.50
101,4,0.66,0.48
101,5,0.44,0.50
101,6,0.38,0.49
101,7,0.53,2.66
101,8,0.97,5.30
101,9,1.47,7.77
101,10,1.44,7.42
101,11,2.00,7.20
101,12,7.09,26.68
101,13,8.12,31.56
101,14,18.09,80.76
101,15,34.91,156.38
101,16,58.97,276.69
101,17,38.50,130.04
101,18,40.72,116.38
101,19,49.47,114.29
101,20,64.56,107.27
101,21,70.34,85.53
101,22,57.66,72.58
101,23,76.84,82.21
101,24,85.03,78.89
102,1,0.02,0.14
102,2,0.12,0.33
102,3,0.12,0.33
102,4,0.39,0.49
102,5,0.37,0.53
102,6,0.29,0.67
102,7,2.33,5.52
102,8,2.63,8.12
102,9,4.61,12.18
102,10,4.96,12.88
102,11,5.65,13.82
102,12,5.25,9.16
102,13,4.33,11.65
102,14,3.59,6.62
102,15,3.90,7.49
102,16,6.92,13.52
102,17,10.96,21.76
102,18,13.75,25.31
102,19,14.10,28.30
102,20,16.88,31.41
102,21,18.06,31.81
102,22,20.92,32.58
102,23,24.18,38.26
102,24,28.18,45.28
103,1,0.07,0.25
103,2,0.12,0.33
103,3,0.32,0.47
103,4,0.45,0.50
103,5,0.46,0.58
103,6,0.53,0.60
103,7,2.04,2.80
103,8,2.39,4.10
103,9,3.36,4.49
103,10,5.89,8.20
103,11,4.74,6.58
103,12,5.72,5.95
103,13,7.93,10.06
103,14,7.88,10.78
103,15,8.95,16.92
103,16,10.64,16.81
103,17,19.38,32.18
103,18,26.92,35.13
103,19,39.93,58.19
103,20,48.16,58.06
103,21,62.50,80.53
103,22,64.09,91.71
103,23,69.93,101.00
103,24,75.31,98.18
104,1,0.15,0.36
104,2,0.18,0.39
104,3,0.24,0.43
104,4,0.41,0.50
104,5,0.56,0.50
104,6,0.76,0.43
104,7,2.44,4.24
104,8,4.06,7.70
104,9,3.44,6.42
104,10,4.65,7.57
104,11,4.71,10.30
104,12,6.88,16.33
104,13,5.41,11.63
104,14,7.21,18.47
104,15,11.68,31.68
104,16,16.18,43.73
104,17,20.03,46.80
104,18,22.47,46.44
104,19,26.91,47.98
104,20,29.09,46.56
104,21,27.74,42.84
104,22,27.56,43.79
104,23,16.82,16.42
104,24,32.88,52.15
105,1,0.17,0.38
105,2,0.31,0.47
105,3,0.51,0.51
105,4,0.51,0.51
105,5,0.54,0.51
105,6,23.34,102.03
105,7,23.00,92.46
105,8,33.69,124.85
105,9,46.37,158.76
105,10,76.31,274.03
105,11,83.86,265.60
105,12,78.49,232.90
105,13,99.49,274.85
105,14,111.00,287.64
105,15,183.34,471.30
105,16,201.91,472.33
105,17,230.23,554.34
105,18,237.26,549.17
105,19,256.43,593.10
105,20,260.09,509.32
105,21,348.51,558.79
105,22,358.31,581.28
105,23,396.89,599.99
105,24,447.71,714.67
106,1,0.00,0.00
106,2,0.00,0.00
106,3,0.00,0.00
106,4,0.00,0.00
106,5,0.00,0.00
106,6,0.00,0.00
106,7,0.00,0.00
106,8,0.00,0.00
106,9,0.00,0.00
106,10,0.00,0.00
106,11,0.00,0.00
106,12,0.25,0.46
106,13,4.38,5.63
106,14,2.25,1.75
106,15,0.50,0.53
106,16,0.62,0.74
106,17,1.12,1.36
106,18,2.75,3.01
106,19,1.00,2.07
106,20,0.38,0.52
106,21,1.00,0.93
106,22,3.88,9.00
106,23,1.50,1.93
106,24,1.00,1.20
107,1,0.09,0.30
107,2,0.28,0.46
107,3,0.47,0.51
107,4,0.59,0.50
107,5,0.47,0.51
107,6,0.62,0.49
107,7,2.06,5.81
107,8,2.50,5.55
107,9,2.38,2.49
107,10,4.03,5.10
107,11,7.34,10.34
107,12,8.28,14.66
107,13,8.31,14.82
107,14,9.22,12.58
107,15,5.81,9.97
107,16,10.69,12.88
107,17,12.75,23.32
107,18,18.78,28.19
107,19,32.28,70.25
107,20,29.75,36.91
107,21,32.78,45.64
107,22,22.25,25.52
107,23,28.19,27.00
107,24,27.00,36.35
108,1,0.20,0.41
108,2,0.34,0.48
108,3,0.54,0.51
108,4,0.51,0.51
108,5,0.51,0.51
108,6,23.31,102.04
108,7,22.89,92.48
108,8,33.26,124.92
108,9,46.11,158.83
108,10,76.17,274.07
