timeid,method,spot,districtid1,districtid2,districtid3,disxtrictid4,districtid5
1,neighborhood,hot,361,675,365,397,422
1,state,hot,361,365,260,448,319
1,neighborhood,cold,707,510,631,241,723
1,state,cold,479,237,109,807,362
2,neighborhood,hot,366,104,647,424,448
2,state,hot,469,647,542,228,104
2,neighborhood,cold,478,210,618,620,619
2,state,cold,731,800,653,640,455
3,neighborhood,hot,191,104,739,228,790
3,state,hot,361,228,104,618,542
3,neighborhood,cold,427,249,538,202,367
3,state,cold,693,731,614,801,362
4,neighborhood,hot,104,228,739,191,361
4,state,hot,361,228,618,416,104
4,neighborhood,cold,510,201,220,558,671
4,state,cold,282,731,801,396,807
5,neighborhood,hot,191,499,416,739,391
5,state,hot,416,618,361,292,596
5,neighborhood,cold,782,727,510,102,363
5,state,cold,282,782,801,220,577
6,neighborhood,hot,817,499,378,191,739
6,state,hot,618,817,634,604,499
6,neighborhood,cold,427,492,783,693,510
6,state,cold,282,474,483,225,451
7,neighborhood,hot,817,378,499,739,548
7,state,hot,817,618,416,106,634
7,neighborhood,cold,427,261,510,615,434
7,state,cold,282,474,225,583,362
