districtid,timeid,neighborhoodzscore,statezscore
101,2,-0.07,-0.11
101,4,-0.76,-0.20
101,5,-0.49,-0.27
101,6,-0.71,-0.56
101,7,-0.91,-0.72
102,2,-0.48,-0.18
102,3,-0.69,-0.34
102,4,-2.22,-0.42
102,5,-3.22,-0.45
102,6,-1.73,-0.50
102,7,-0.95,-0.48
103,1,0.00,-0.04
103,2,9.25,9.88
103,3,7.06,5.14
103,4,-0.12,0.49
103,5,0.25,-0.25
103,6,0.66,-0.32
103,7,2.21,0.01
104,1,4.42,6.06
104,2,115.84,26.72
104,3,131.76,43.85
104,4,76.59,15.00
104,5,14.99,3.47
104,6,10.12,2.90
104,7,8.92,2.43
105,1,-0.18,-0.02
105,2,-0.63,-0.22
105,3,-0.66,-0.27
105,4,-0.61,-0.34
105,5,-0.56,-0.17
105,6,-0.29,0.34
105,7,-0.24,0.31
106,1,2.26,0.00
106,4,0.84,1.52
106,5,0.02,21.60
106,6,-0.18,6.04
106,7,-0.12,14.16
107,1,-0.20,0.54
107,2,-0.14,0.41
107,3,-0.43,0.02
107,4,-0.45,-0.28
107,5,0.69,0.76
107,6,0.29,0.75
107,7,0.03,0.52
108,2,1.75,-0.21
108,3,4.53,-0.19
108,4,5.99,-0.26
108,5,0.12,-0.39
108,6,-0.83,-0.57
108,7,-0.42,-0.58
109,1,-0.66,-0.44
109,2,-1.07,-0.66
109,3,1.63,-0.24
109,4,0.57,0.38
109,5,0.50,0.16
109,6,1.15,0.23
109,7,-0.68,-0.26
110,2,0.16,0.10
110,3,0.42,0.54
110,4,-0.14,0.51
110,5,0.14,0.06
110,6,2.42,0.38
110,7,2.24,0.61
111,3,-1.23,-0.50
111,4,-0.17,-0.45
111,5,-1.00,-0.55
111,6,0.16,-0.49
111,7,0.51,-0.06
112,2,-0.81,-0.22
112,4,-1.01,-0.43
112,5,-0.80,-0.30
112,6,-0.45,-0.19
112,7,-0.25,-0.18
113,2,-0.16,-0.42
113,3,0.05,-0.05
113,4,0.36,-0.31
113,5,-0.08,-0.51
113,6,-0.33,-0.68
113,7,0.02,-0.46
114,1,-0.26,-0.22
114,2,-0.49,-0.39
114,3,-0.42,-0.56
114,4,-0.16,0.54
114,5,3.36,3.33
114,6,1.12,1.98
114,7,0.18,0.92
115,1,-0.18,-0.13
115,2,-0.42,-0.03
115,3,0.99,-0.25
115,4,2.48,-0.27
115,5,1.56,0.25
115,6,0.18,1.03
115,7,-0.00,0.42
116,3,-1.04,-0.21
116,4,-2.13,-0.55
116,5,-1.58,-0.68
116,6,-0.85,-0.52
116,7,-0.73,-0.52
117,3,1.18,0.90
117,4,0.44,-0.25
117,5,-1.57,-0.63
117,6,-1.39,-0.46
117,7,-0.68,-0.26
118,2,-0.07,-0.22
118,3,0.18,-0.25
118,4,0.24,-0.34
118,5,0.73,-0.37
118,6,-0.00,-0.45
118,7,-0.22,-0.55
119,3,-2.23,-0.23
119,4,-0.18,-0.25
119,5,-0.70,-0.28
119,6,-0.38,-0.11
119,7,-0.38,-0.17
120,1,0.00,0.04
120,2,5.48,0.78
120,3,3.56,6.35
120,4,20.61,2.35
120,5,10.54,0.85
120,6,1.39,0.27
120,7,3.94,0.90
121,2,-0.75,-0.03
121,3,-0.96,-0.57
121,4,-1.72,-0.46
121,5,-0.99,-0.36
121,6,-0.31,-0.34
121,7,-0.61,-0.38
122,2,-0.52,-0.10
122,3,-0.56,-0.22
122,4,-0.58,-0.21
122,5,-0.84,-0.36
122,6,-0.93,-0.44
122,7,-0.92,-0.48
123,1,1.00,-0.32
123,2,-0.15,-0.40
123,3,0.39,0.31
123,4,1.68,1.86
123,5,1.43,0.81
123,6,1.15,0.56
123,7,0.51,-0.53
124,2,2.34,1.70
124,3,1.77,2.20
124,4,-0.08,0.37
124,5,-0.14,-0.01
124,6,0.09,0.17
124,7,0.02,-0.17
125,3,-0.38,-0.43
125,4,-0.45,-0.62
125,5,-0.46,-0.35
125,6,-0.77,-0.76
125,7,-0.31,-0.38
126,5,-0.86,-0.36
126,6,-1.54,-0.53
126,7,-1.04,-0.49
127,3,-0.52,-0.29
127,4,-0.52,-0.38
127,5,-0.40,-0.49
127,6,-0.10,-0.28
127,7,-0.46,-0.33
128,2,0.00,-0.55
128,3,-0.83,-0.94
128,4,-1.26,-0.88
128,5,-0.12,-0.47
128,6,0.80,0.06
128,7,2.21,1.73
129,2,0.55,-0.21
129,3,-0.77,-0.17
129,4,-0.24,-0.23
129,5,-1.20,-0.45
129,6,-1.24,-0.58
129,7,-0.99,-0.52
130,2,-1.38,-0.37
130,3,1.05,-0.07
130,4,-1.08,-0.24
130,5,-1.21,-0.54
130,6,-0.72,-0.50
130,7,-0.65,-0.54
131,2,-0.83,-0.38
131,3,-0.92,-0.87
131,4,-0.76,-1.16
131,5,-0.66,-0.53
131,6,-0.64,-0.78
131,7,-0.63,-0.78
132,2,-0.46,-0.23
132,3,-0.39,-0.31
132,4,-0.24,-0.30
132,5,-1.81,-0.49
132,6,-1.74,-0.48
132,7,-1.08,-0.42
133,2,-0.21,-0.27
133,3,-0.77,-0.78
133,4,-0.32,-0.48
133,5,-1.03,-0.55
133,6,-1.10,-0.44
133,7,1.04,-0.29
134,2,-0.57,-0.15
134,3,-0.73,-0.42
134,4,-0.80,-0.07
134,5,-1.00,-0.30
134,6,-1.16,-0.26
134,7,-1.27,-0.01
136,2,-0.43,-0.41
136,3,0.04,0.44
136,4,0.78,-0.16
136,5,1.82,0.09
136,6,1.02,0.08
136,7,2.19,0.26
137,2,1.73,-0.30
137,3,-0.07,0.12
137,4,-0.42,-0.26
137,5,-0.15,-0.09
137,6,-0.02,0.11
137,7,-0.27,-0.23
140,3,-0.61,-0.68
140,4,-0.16,-0.69
140,5,-1.02,-0.78
140,6,-1.78,-0.77
140,7,-1.00,-0.98
141,1,-0.58,-0.04
141,2,-0.83,-0.21
141,3,-0.94,-0.67
141,4,-0.66,0.07
141,5,-0.88,-0.46
141,6,-1.62,-0.64
141,7,-2.29,-0.60
142,2,0.36,-0.29
142,3,0.20,-0.03
142,4,-0.57,-0.61
142,5,-0.22,-0.43
142,6,-0.13,-0.14
142,7,-0.58,-0.38
143,3,-1.06,-0.51
143,4,0.00,-0.14
143,5,-0.82,-0.29
143,6,-0.70,-0.48
143,7,0.90,0.03
144,3,-0.50,-0.32
144,4,-0.54,-0.35
144,5,-0.41,-0.39
144,6,-0.44,-0.45
