districtid,timeid,neighborhoodzscore,statezscore
101,1,-0.73,-0.34
102,1,-1.71,-0.46
103,1,1.33,-0.04
104,1,32.52,7.74
105,1,-0.46,-0.01
106,1,-0.13,9.12
107,1,0.15,0.60
108,1,0.22,-0.46
109,1,0.84,0.16
110,1,0.96,0.37
111,1,-0.03,-0.49
112,1,-0.62,-0.27
113,1,-0.15,-0.59
114,1,0.98,1.86
115,1,0.51,0.30
116,1,-0.99,-0.59
117,1,-1.21,-0.47
118,1,0.02,-0.43
119,1,-0.50,-0.24
120,1,3.10,0.69
121,1,-0.73,-0.38
122,1,-0.69,-0.33
123,1,1.20,0.62
124,1,0.05,0.18
125,1,-0.65,-0.63
126,1,-1.08,-0.48
127,1,-0.31,-0.36
128,1,0.67,-0.07
129,1,-1.12,-0.39
130,1,-0.91,-0.41
131,1,-0.66,-0.73
132,1,-1.82,-0.44
133,1,-0.99,-0.49
134,1,-1.12,-0.27
136,1,1.35,0.09
137,1,-0.09,-0.01
140,1,-1.11,-0.84
141,1,-1.33,-0.59
142,1,-0.22,-0.28
143,1,-0.59,-0.34
144,1,-0.45,-0.41
145,1,0.43,-0.45
146,1,0.16,0.04
147,1,0.38,0.63
148,1,0.97,0.19
149,1,-0.83,-0.31
150,1,-0.43,-0.16
151,1,-0.81,-0.55
152,1,-1.20,-0.41
153,1,-0.64,-0.37
154,1,-0.11,-0.27
155,1,0.92,-0.57
156,1,-0.37,0.10
157,1,-0.20,-0.61
158,1,-0.27,-0.45
159,1,-0.71,-0.65
160,1,-0.22,0.15
161,1,-0.16,0.41
162,1,-0.53,-0.62
163,1,3.77,0.88
164,1,1.47,-0.21
165,1,-0.34,-0.12
166,1,-0.58,-0.56
167,1,-0.18,-0.26
168,1,-0.56,-0.06
169,1,-0.38,-0.18
170,1,0.20,-0.20
171,1,4.51,0.02
172,1,-0.40,-0.44
173,1,-0.10,0.53
175,1,0.81,-0.18
178,1,-0.39,-0.23
179,1,-1.20,-0.54
180,1,-0.54,-0.22
181,1,-0.05,-0.18
182,1,2.35,0.63
183,1,-0.46,-0.53
184,1,0.42,0.34
185,1,-0.64,-0.20
186,1,-0.46,0.02
187,1,0.45,-0.14
188,1,-1.24,-0.29
189,1,0.03,-0.52
190,1,-0.39,-0.05
191,1,43.17,4.79
192,1,-0.64,-0.21
193,1,-0.67,-0.33
194,1,-0.88,-0.34
195,1,0.34,0.66
196,1,-1.00,-0.47
197,1,3.98,0.38
198,1,-0.25,-0.52
199,1,-0.46,-0.42
200,1,-1.10,-0.38
201,1,-0.20,0.04
202,1,0.79,-0.23
203,1,-0.61,-0.38
204,1,-1.21,-0.71
205,1,-0.87,-0.40
206,1,-0.40,0.32
207,1,-0.42,-0.22
208,1,-0.33,-0.47
209,1,-0.62,-0.65
210,1,-0.65,-0.32
211,1,-0.27,-0.24
213,1,9.94,0.65
214,1,-0.40,-0.31
215,1,-0.45,-0.23
216,1,-0.65,-0.78
217,1,-0.93,-0.78
218,1,-0.60,-0.54
219,1,-0.39,-0.31
220,1,-1.38,-0.74
221,1,1.67,0.00
222,1,-0.22,-0.48
223,1,-0.19,0.94
224,1,-0.55,-0.44
225,1,-2.07,-0.92
226,1,-0.83,-0.51
228,1,21.10,19.99
229,1,-0.45,-0.27
230,1,-0.48,-0.35
231,1,-0.75,-0.41
232,1,-0.76,-0.21
233,1,-0.29,-0.20
234,1,-1.47,-0.41
235,1,-0.89,-0.26
236,1,-0.46,-0.63
237,1,2.01,0.37
238,1,-0.52,-0.55
239,1,3.22,0.00
240,1,-0.74,-0.52
241,1,7.61,0.29
242,1,0.90,-0.39
243,1,1.66,0.08
244,1,0.79,1.36
246,1,-0.70,0.89
247,1,1.14,-0.26
248,1,-0.70,-0.37
249,1,0.12,-0.35
250,1,6.15,0.23
251,1,0.00,0.54
252,1,-0.34,-0.25
253,1,-0.65,-0.45
254,1,-1.27,-0.41
255,1,2.07,-0.21
256,1,-0.39,-0.11
257,1,-0.86,-0.24
258,1,-0.76,-0.66
259,1,0.29,0.07
260,1,1.49,2.01
261,1,-1.53,-0.83
262,1,0.03,-0.27
263,1,-0.03,0.19
264,1,-0.57,-0.41
265,1,-0.43,-0.23
266,1,0.51,-0.28
267,1,-0.51,-0.34
268,1,0.85,0.54
269,1,-0.43,-0.14
270,1,-1.16,-0.48
271,1,3.49,0.15
272,1,-0.48,-0.37
273,1,-0.64,-0.45
274,1,-0.09,-0.12
275,1,0.36,-0.15
276,1,-0.21,-0.35
277,1,5.43,0.80
278,1,-0.43,-0.42
279,1,0.65,4.08
280,1,0.01,-0.22
281,1,-0.52,-0.47
282,1,0.00,-11.50
283,1,-0.66,-0.77
284,1,-0.86,-0.58
285,1,0.20,-0.50
286,1,0.06,1.05
287,1,0.99,0.48
288,1,-0.16,-0.31
289,1,2.24,3.31
290,1,-0.60,-0.40
291,1,-0.36,0.04
292,1,14.00,12.89
293,1,-0.29,0.32
294,1,1.00,0.00
295,1,3.51,3.33
296,1,-0.03,0.36
297,1,-0.29,-0.37
298,1,-0.65,-0.57
299,1,0.87,-0.25
300,1,1.01,4.02
301,1,-0.64,-0.50
302,1,-0.52,-0.47
303,1,-0.38,-0.67
304,1,-0.97,-0.60
305,1,-0.34,-0.47
306,1,-0.01,-0.64
