districtid,timeid,neighborhoodzscore,statezscore
101,4,1.09,0.71
101,6,-0.19,1.27
101,12,-1.26,-0.19
101,14,-0.64,-0.21
101,15,1.25,-0.18
101,16,-0.96,-0.21
101,17,-0.24,-0.23
101,18,-0.43,-0.28
101,19,-0.35,-0.31
101,20,-0.93,-0.44
101,21,-0.56,-0.52
101,22,-0.81,-0.55
101,23,-0.63,-0.75
101,24,-0.84,-0.70
102,5,0.44,1.19
102,6,1.09,1.06
102,7,-0.44,-0.24
102,8,-0.59,-0.20
102,12,-1.14,-0.46
102,13,-0.79,-0.29
102,14,-1.05,-0.39
102,17,-0.68,-0.41
102,18,-1.27,-0.50
102,19,-0.74,-0.29
102,20,-0.74,-0.41
102,21,-1.01,-0.41
102,22,-1.69,-0.58
102,23,-1.34,-0.53
102,24,-1.54,-0.51
103,3,0.83,1.45
103,4,1.06,1.10
103,5,1.06,0.93
103,6,0.83,0.78
103,7,7.72,13.20
103,8,14.10,8.44
103,9,3.43,0.59
103,10,0.78,0.01
103,12,-0.02,0.89
103,13,0.28,0.60
103,14,-0.24,0.10
103,15,-0.23,-0.12
103,16,-0.54,-0.45
103,17,-0.12,-0.20
103,18,0.72,-0.20
103,19,0.11,-0.38
103,20,0.40,-0.26
103,21,1.52,-0.34
103,22,0.67,-0.36
103,23,0.12,-0.28
103,24,2.26,-0.16
104,1,2.26,2.36
104,2,1.08,2.10
104,3,1.45,1.77
104,4,0.81,1.18
104,5,0.37,0.88
104,6,0.00,0.56
104,7,41.71,58.39
104,8,34.46,35.84
104,9,354.56,109.90
104,10,96.09,35.98
104,11,56.59,27.12
104,12,42.12,17.28
104,13,95.86,29.11
104,14,102.53,16.18
104,15,34.61,6.29
104,16,25.66,3.56
104,17,9.88,3.38
104,18,16.50,3.80
104,19,11.79,3.19
104,20,8.64,2.51
104,21,9.46,3.04
104,22,14.24,3.07
104,23,0.99,0.32
104,24,7.41,2.51
105,1,1.45,2.18
105,2,1.45,1.47
105,3,0.81,0.96
105,4,0.81,0.96
105,6,-0.60,-0.21
105,7,-0.45,-0.18
105,8,-0.48,-0.21
105,9,-0.56,-0.29
105,10,-0.65,-0.27
105,11,-0.65,-0.27
105,12,-0.60,-0.33
105,13,-0.63,-0.33
105,14,-0.60,-0.34
105,15,-0.55,-0.32
105,16,-0.72,-0.42
105,17,-0.59,-0.27
105,18,-0.68,-0.39
105,19,-0.43,0.02
105,20,-0.20,0.45
105,21,-0.26,0.46
105,22,-0.54,0.02
105,23,-0.31,0.32
105,24,-0.29,0.23
106,2,0.00,0.00
106,12,1.70,3.80
106,13,-0.35,-0.25
106,14,0.71,0.43
106,15,1.08,0.94
106,16,0.54,0.51
106,17,0.54,-0.09
106,18,-0.37,-0.25
106,19,0.31,13.04
106,20,-0.33,5.04
106,21,-0.33,3.23
106,22,-0.18,2.57
106,23,-0.30,1.81
106,24,0.04,20.83
107,2,0.91,1.57
107,3,0.91,1.04
107,5,0.91,1.04
107,6,0.63,0.78
107,7,-0.44,-0.18
107,8,-0.41,-0.09
107,9,-0.11,0.25
107,10,-1.17,-0.59
107,11,-0.43,-0.03
107,12,-0.73,-0.50
107,13,-0.18,-0.16
107,14,0.07,-0.41
107,15,0.57,-0.08
107,16,0.21,-0.29
107,17,-0.40,-0.25
107,18,-0.30,-0.13
107,19,0.16,-0.09
107,20,0.06,0.06
107,21,-0.23,0.31
107,22,1.56,1.48
107,23,0.50,0.92
107,24,-0.43,-0.39
108,4,0.57,0.96
108,5,0.57,0.96
108,6,0.29,-0.20
108,7,5.67,-0.14
108,8,13.29,-0.09
108,9,4.62,-0.23
108,10,0.07,-0.26
108,11,5.06,-0.19
108,12,4.21,-0.18
108,13,-1.12,-0.32
108,14,2.77,-0.32
108,15,0.54,-0.36
108,16,-0.17,-0.41
108,17,3.92,-0.37
108,18,1.23,-0.33
108,19,-0.22,-0.38
108,20,-0.16,-0.44
108,21,-1.84,-0.61
108,22,-1.21,-0.57
108,23,0.36,-0.57
108,24,-0.98,-0.58
109,2,0.50,0.62
109,3,0.50,0.39
109,4,0.86,0.84
109,9,0.00,-0.39
109,10,3.39,0.38
109,11,0.00,0.26
109,12,-0.54,-0.62
109,13,2.00,2.03
109,14,-1.09,-0.62
109,15,1.10,1.02
109,16,0.86,0.36
109,17,2.69,2.76
109,18,0.41,0.06
109,19,0.00,-0.70
109,20,0.49,-0.13
109,21,3.27,0.66
109,22,1.45,0.11
109,23,-0.63,-0.46
109,24,0.44,0.13
110,6,0.73,0.78
110,7,1.10,0.69
110,8,-0.48,-0.15
110,9,0.14,-0.09
110,10,0.02,0.01
110,11,1.21,1.61
110,12,0.71,0.37
110,13,-0.14,0.20
110,14,1.32,0.77
110,15,-0.21,0.30
110,16,-0.46,-0.21
110,17,-0.15,-0.04
110,18,0.29,0.24
110,19,0.29,0.04
110,20,0.38,-0.05
110,21,4.54,0.49
110,22,1.78,0.36
110,23,1.80,0.35
110,24,2.00,0.32
111,11,-1.07,-0.54
111,12,-0.95,-0.51
111,13,-2.20,-0.48
111,14,6.43,0.93
111,15,-1.44,-0.58
111,16,0.00,-0.53
111,17,-0.65,-0.56
111,18,-0.47,-0.56
111,19,-1.67,-0.56
111,20,-0.79,-0.44
111,21,-1.39,-0.54
111,22,-0.19,-0.59
111,23,0.20,-0.63
111,24,1.51,0.38
112,5,2.85,3.44
112,16,-0.35,-0.21
112,17,-0.68,-0.41
112,18,-0.55,-0.30
112,19,-0.23,-0.18
112,20,-0.87,-0.44
112,21,-0.49,-0.25
112,22,0.57,0.51
112,23,-0.41,-0.37
112,24,0.27,0.05
113,4,2.02,1.37
113,9,1.29,0.36
113,10,-0.38,-0.30
113,11,0.98,0.53
113,12,-0.35,-0.47
113,13,-1.04,-1.03
113,14,1.84,2.16
113,15,11.79,12.40
113,16,0.00,0.16
113,17,4.46,2.54
113,18,4.46,-0.27
113,19,-0.32,-0.59
113,20,-0.43,-0.26
113,21,-0.84,-0.53
113,22,-0.20,-0.47
113,23,0.01,-0.42
113,24,2.55,-0.00
114,3,0.63,1.04
114,4,0.63,0.88
114,7,-0.16,-0.01
114,8,-0.46,-0.28
114,9,-0.85,-0.58
114,10,-0.02,0.21
114,11,-0.77,-0.53
114,12,-0.22,0.35
114,13,-0.72,-0.51
114,14,-0.84,-0.66
114,15,0.11,1.30
114,16,2.54,4.40
114,17,-1.13,-0.34
114,18,4.57,2.89
114,19,6.14,6.03
114,20,2.03,2.16
114,21,2.14,1.34
114,22,0.86,1.02
114,23,0.71,1.65
114,24,0.78,1.99
115,2,2.02,2.02
115,3,0.91,0.94
115,4,0.63,0.84
115,6,0.91,1.40
