From_Category,To_Category,Percentage_of_finished_paths,Percentage_of_unfinished_paths
C0001,C0001,67.38,32.62
C0001,C0002,68.16,31.84
C0001,C0003,61.34,38.66
C0001,C0004,66.01,33.99
C0001,C0005,87.57,12.43
C0001,C0006,57.71,42.29
C0001,C0007,55.14,44.86
C0001,C0008,79.41,20.59
C0001,C0009,67.32,32.68
C0001,C0010,66.98,33.02
C0001,C0011,58.44,41.56
C0001,C0012,73.97,26.03
C0001,C0013,61.75,38.25
C0001,C0014,68.52,31.48
C0001,C0015,75.36,24.64
C0001,C0016,64.33,35.67
C0001,C0017,68.16,31.84
C0001,C0019,69.32,30.68
C0001,C0020,58.09,41.91
C0001,C0021,78.6,21.4
C0001,C0022,46.9,53.1
C0001,C0023,46.19,53.81
C0001,C0024,41.03,58.97
C0001,C0025,35.81,64.19
C0001,C0026,63.16,36.84
C0001,C0027,58.57,41.43
C0001,C0028,74.75,25.25
C0001,C0029,73.53,26.47
C0001,C0030,78.46,21.54
C0001,C0031,68.31,31.69
C0001,C0032,68.86,31.14
C0001,C0033,71.02,28.98
C0001,C0034,56.39,43.61
C0001,C0035,45.64,54.36
C0001,C0036,58.33,41.67
C0001,C0037,30.68,69.32
C0001,C0038,66.72,33.28
C0001,C0039,61.68,38.32
C0001,C0040,56.81,43.19
C0001,C0041,52.97,47.03
C0001,C0042,53.03,46.97
C0001,C0043,34.18,65.82
C0001,C0044,60.5,39.5
C0001,C0045,71.55,28.45
C0001,C0046,67.8,32.2
C0001,C0047,70.83,29.17
C0001,C0048,41.72,58.28
C0001,C0049,85.81,14.19
C0001,C0050,69.7,30.3
C0001,C0051,82.94,17.06
C0001,C0052,78.18,21.82
C0001,C0053,88.34,11.66
C0001,C0054,81.6,18.4
C0001,C0055,83.18,16.82
C0001,C0056,74.05,25.95
C0001,C0057,68.28,31.72
C0001,C0058,86.59,13.41
C0001,C0059,69.15,30.85
C0001,C0060,65.46,34.54
C0001,C0061,64.81,35.19
C0001,C0062,75.39,24.61
C0001,C0063,62.08,37.92
C0001,C0064,64.58,35.42
C0001,C0065,71.81,28.19
C0001,C0066,75.7,24.3
C0001,C0067,64.41,35.59
C0001,C0068,64.27,35.73
C0001,C0069,65.79,34.21
C0001,C0070,65.8,34.2
C0001,C0071,64.74,35.26
C0001,C0072,60.6,39.4
C0001,C0073,55.7,44.3
C0001,C0074,80.14,19.86
C0001,C0075,69.91,30.09
C0001,C0076,61.11,38.89
C0001,C0077,44.68,55.32
C0001,C0078,73.9,26.1
C0001,C0079,61.99,38.01
C0001,C0080,18.81,81.19
C0001,C0081,87.26,12.74
C0001,C0082,64.65,35.35
C0001,C0083,65.74,34.26
C0001,C0084,38.53,61.47
C0001,C0085,62.6,37.4
C0001,C0086,53.33,46.67
C0001,C0087,78.13,21.87
C0001,C0088,64.86,35.14
C0001,C0089,51.16,48.84
C0001,C0090,61.98,38.02
C0001,C0091,30.72,69.28
C0001,C0092,62.73,37.27
C0001,C0093,74.69,25.31
C0001,C0094,74.49,25.51
C0001,C0095,70.09,29.91
C0001,C0096,66.36,33.64
C0001,C0097,58.44,41.56
C0001,C0098,61.53,38.47
C0001,C0099,63.05,36.95
C0001,C0100,58.45,41.55
C0001,C0101,53.26,46.74
C0001,C0102,76.25,23.75
C0001,C0103,68.11,31.89
C0001,C0104,73.99,26.01
C0001,C0105,82.93,17.07
C0001,C0106,46.74,53.26
C0001,C0107,74.69,25.31
C0001,C0108,43.17,56.83
C0001,C0109,88.69,11.31
C0001,C0110,60.32,39.68
C0001,C0111,78.92,21.08
C0001,C0112,57.02,42.98
C0001,C0113,77.31,22.69
C0001,C0114,74.56,25.44
C0001,C0115,80.26,19.74
C0001,C0116,65.54,34.46
C0001,C0117,57.0,43.0
C0001,C0118,79.43,20.57
C0001,C0119,75.13,24.87
C0001,C0120,87.65,12.35
C0001,C0121,82.0,18.0
C0001,C0122,90.78,9.22
C0001,C0123,87.74,12.26
C0001,C0124,87.79,12.21
C0001,C0125,74.64,25.36
C0001,C0126,60.69,39.31
C0001,C0127,61.64,38.36
C0001,C0128,85.21,14.79
C0001,C0129,58.44,41.56
C0001,C0130,74.96,25.04
C0001,C0131,76.15,23.85
C0001,C0132,71.1,28.9
C0001,C0133,56.87,43.13
C0001,C0134,63.64,36.36
C0001,C0135,53.82,46.18
C0001,C0136,65.07,34.93
C0001,C0137,48.03,51.97
C0001,C0138,67.99,32.01
C0001,C0139,84.2,15.8
C0001,C0140,75.09,24.91
C0001,C0141,70.69,29.31
C0001,C0142,79.72,20.28
C0001,C0143,76.0,24.0
C0001,C0144,72.38,27.62
C0001,C0145,72.28,27.72
C0001,C0146,83.11,16.89
C0002,C0001,67.0,33.0
C0002,C0002,83.33,16.67
C0002,C0003,71.43,28.57
C0002,C0004,86.96,13.04
C0002,C0005,84.62,15.38
C0002,C0006,28.57,71.43
C0002,C0007,59.09,40.91
C0002,C0008,76.98,23.02
C0002,C0009,78.57,21.43
C0002,C0010,71.43,28.57
C0002,C0011,50.0,50.0
C0002,C0012,0.0,100.0
C0002,C0013,65.22,34.78
C0002,C0014,71.83,28.17
C0002,C0015,73.68,26.32
C0002,C0016,63.3,36.7
C0002,C0017,83.33,16.67
C0002,C0020,81.82,18.18
C0002,C0021,50.0,50.0
C0002,C0022,0.0,100.0
C0002,C0026,0.0,100.0
C0002,C0027,50.0,50.0
C0002,C0029,91.67,8.33
C0002,C0031,100.0,0.0
C0002,C0032,0.0,100.0
C0002,C0033,0.0,100.0
C0002,C0034,40.0,60.0
C0002,C0035,50.0,50.0
C0002,C0036,0.0,100.0
C0002,C0037,22.22,77.78
C0002,C0038,81.82,18.18
C0002,C0039,80.0,20.0
C0002,C0040,60.0,40.0
C0002,C0041,0.0,100.0
C0002,C0042,66.67,33.33
C0002,C0043,0.0,100.0
C0002,C0044,66.67,33.33
C0002,C0045,33.33,66.67
C0002,C0047,100.0,0.0
C0002,C0048,14.29,85.71
C0002,C0049,73.33,26.67
C0002,C0051,86.67,13.33
C0002,C0052,100.0,0.0
C0002,C0053,85.71,14.29
C0002,C0054,90.91,9.09
C0002,C0055,68.75,31.25
C0002,C0056,42.86,57.14
C0002,C0057,40.0,60.0
C0002,C0058,100.0,0.0
C0002,C0059,88.89,11.11
C0002,C0061,70.0,30.0
C0002,C0062,71.43,28.57
C0002,C0063,100.0,0.0
C0002,C0064,0.0,100.0
C0002,C0065,66.67,33.33
C0002,C0067,50.0,50.0
C0002,C0068,80.0,20.0
C0002,C0070,80.0,20.0
C0002,C0072,100.0,0.0
C0002,C0073,100.0,0.0
C0002,C0074,83.33,16.67
C0002,C0075,100.0,0.0
C0002,C0076,50.0,50.0
C0002,C0078,87.5,12.5
C0002,C0079,33.33,66.67
C0002,C0080,0.0,100.0
C0002,C0081,50.0,50.0
C0002,C0082,0.0,100.0
C0002,C0083,75.0,25.0
C0002,C0084,100.0,0.0
C0002,C0085,75.0,25.0
C0002,C0086,0.0,100.0
C0002,C0087,76.47,23.53
C0002,C0089,40.0,60.0
C0002,C0090,0.0,100.0
C0002,C0091,50.0,50.0
C0002,C0092,33.33,66.67
C0002,C0093,75.0,25.0
C0002,C0094,100.0,0.0
C0002,C0096,50.0,50.0
C0002,C0097,0.0,100.0
C0002,C0098,57.14,42.86
C0002,C0099,0.0,100.0
C0002,C0103,33.33,66.67
C0002,C0104,50.0,50.0
C0002,C0105,90.0,10.0
C0002,C0107,50.0,50.0
C0002,C0108,75.0,25.0
C0002,C0109,100.0,0.0
C0002,C0110,75.0,25.0
C0002,C0111,66.67,33.33
C0002,C0112,0.0,100.0
C0002,C0113,50.0,50.0
C0002,C0114,90.0,10.0
C0002,C0115,66.67,33.33
C0002,C0117,57.89,42.11
C0002,C0118,72.73,27.27
C0002,C0119,74.29,25.71
C0002,C0120,50.0,50.0
C0002,C0121,75.0,25.0
C0002,C0122,100.0,0.0
C0002,C0123,88.89,11.11
C0002,C0124,100.0,0.0
C0002,C0127,50.0,50.0
C0002,C0128,50.0,50.0
C0002,C0129,22.22,77.78
C0002,C0130,80.0,20.0
C0002,C0131,100.0,0.0
C0002,C0132,66.67,33.33
C0002,C0133,56.25,43.75
C0002,C0134,57.89,42.11
C0002,C0135,50.0,50.0
C0002,C0136,100.0,0.0
C0002,C0137,60.81,39.19
C0002,C0138,42.86,57.14
C0002,C0139,90.0,10.0
C0002,C0140,33.33,66.67
C0002,C0141,66.67,33.33
C0002,C0143,42.86,57.14
C0002,C0144,83.33,16.67
C0002,C0145,100.0,0.0
C0002,C0146,72.73,27.27
C0003,C0001,70.14,29.86
C0003,C0002,77.78,22.22
C0003,C0003,75.0,25.0
C0003,C0004,68.97,31.03
C0003,C0005,90.82,9.18
C0003,C0006,50.88,49.12
C0003,C0007,64.24,35.76
C0003,C0008,81.73,18.27
C0003,C0009,70.16,29.84
C0003,C0010,74.29,25.71
C0003,C0011,58.62,41.38
C0003,C0012,66.67,33.33
C0003,C0013,50.0,50.0
C0003,C0014,72.15,27.85
C0003,C0015,69.7,30.3
C0003,C0016,66.87,33.13
C0003,C0017,77.78,22.22
C0003,C0019,80.0,20.0
C0003,C0020,78.79,21.21
C0003,C0021,25.0,75.0
C0003,C0022,100.0,0.0
C0003,C0023,50.0,50.0
C0003,C0024,57.14,42.86
C0003,C0025,0.0,100.0
C0003,C0026,66.67,33.33
C0003,C0027,100.0,0.0
C0003,C0028,83.33,16.67
C0003,C0029,80.0,20.0
C0003,C0030,66.67,33.33
C0003,C0031,68.18,31.82
C0003,C0032,63.64,36.36
C0003,C0033,64.29,35.71
C0003,C0034,61.11,38.89
C0003,C0035,8.33,91.67
C0003,C0036,50.0,50.0
C0003,C0037,33.33,66.67
C0003,C0038,85.0,15.0
C0003,C0039,57.14,42.86
C0003,C0040,50.0,50.0
C0003,C0041,81.25,18.75
C0003,C0042,63.16,36.84
C0003,C0043,0.0,100.0
C0003,C0044,33.33,66.67
C0003,C0045,66.67,33.33
C0003,C0046,62.5,37.5
C0003,C0047,100.0,0.0
C0003,C0048,0.0,100.0
C0003,C0049,80.85,19.15
C0003,C0050,100.0,0.0
C0003,C0051,89.29,10.71
C0003,C0052,90.48,9.52
C0003,C0053,86.36,13.64
C0003,C0054,88.89,11.11
C0003,C0055,90.0,10.0
C0003,C0056,77.78,22.22
C0003,C0057,80.0,20.0
C0003,C0058,83.33,16.67
C0003,C0059,72.0,28.0
C0003,C0060,33.33,66.67
C0003,C0061,44.44,55.56
C0003,C0062,79.55,20.45
C0003,C0063,33.33,66.67
C0003,C0064,80.0,20.0
C0003,C0065,58.82,41.18
C0003,C0067,69.23,30.77
C0003,C0068,85.19,14.81
C0003,C0070,71.43,28.57
C0003,C0071,100.0,0.0
C0003,C0072,61.9,38.1
C0003,C0073,25.0,75.0
C0003,C0074,85.71,14.29
C0003,C0075,100.0,0.0
C0003,C0076,100.0,0.0
C0003,C0078,80.77,19.23
C0003,C0079,33.33,66.67
C0003,C0080,0.0,100.0
C0003,C0081,100.0,0.0
C0003,C0082,66.67,33.33
C0003,C0083,33.33,66.67
C0003,C0084,28.57,71.43
C0003,C0085,100.0,0.0
C0003,C0086,66.67,33.33
C0003,C0087,81.82,18.18
C0003,C0088,50.0,50.0
C0003,C0089,0.0,100.0
C0003,C0090,50.0,50.0
C0003,C0091,50.0,50.0
C0003,C0092,0.0,100.0
C0003,C0093,100.0,0.0
C0003,C0094,50.0,50.0
C0003,C0095,100.0,0.0
C0003,C0096,100.0,0.0
C0003,C0097,80.0,20.0
C0003,C0098,80.0,20.0
C0003,C0099,85.71,14.29
C0003,C0100,50.0,50.0
C0003,C0101,16.67,83.33
C0003,C0102,61.54,38.46
C0003,C0103,76.92,23.08
C0003,C0104,75.0,25.0
C0003,C0105,88.89,11.11
C0003,C0106,0.0,100.0
C0003,C0107,75.0,25.0
C0003,C0108,22.22,77.78
C0003,C0109,80.0,20.0
C0003,C0110,84.62,15.38
C0003,C0111,60.0,40.0
C0003,C0112,50.0,50.0
C0003,C0113,90.0,10.0
C0003,C0114,20.0,80.0
C0003,C0115,60.0,40.0
C0003,C0116,75.0,25.0
C0003,C0117,61.0,39.0
C0003,C0118,82.81,17.19
C0003,C0119,70.97,29.03
C0003,C0120,79.17,20.83
C0003,C0121,87.5,12.5
C0003,C0122,92.0,8.0
C0003,C0123,100.0,0.0
C0003,C0124,87.5,12.5
C0003,C0125,25.0,75.0
C0003,C0126,69.23,30.77
C0003,C0127,75.0,25.0
C0003,C0128,100.0,0.0
C0003,C0129,59.38,40.62
C0003,C0130,66.67,33.33
C0003,C0131,50.0,50.0
C0003,C0132,78.26,21.74
C0003,C0133,58.33,41.67
C0003,C0134,40.0,60.0
C0003,C0135,61.36,38.64
C0003,C0136,83.33,16.67
C0003,C0137,56.41,43.59
C0003,C0138,70.59,29.41
C0003,C0139,91.43,8.57
C0003,C0140,72.73,27.27
C0003,C0141,100.0,0.0
C0003,C0143,64.71,35.29
C0003,C0144,71.43,28.57
C0003,C0145,76.47,23.53
C0003,C0146,71.43,28.57
C0004,C0001,68.91,31.09
C0004,C0002,56.25,43.75
C0004,C0003,63.51,36.49
C0004,C0004,73.25,26.75
C0004,C0005,87.4,12.6
C0004,C0006,64.74,35.26
C0004,C0007,65.18,34.82
C0004,C0008,78.76,21.24
C0004,C0009,68.48,31.52
C0004,C0010,79.66,20.34
C0004,C0011,60.61,39.39
C0004,C0012,63.89,36.11
C0004,C0013,37.04,62.96
C0004,C0014,61.73,38.27
C0004,C0015,71.6,28.4
C0004,C0016,69.12,30.88
C0004,C0017,56.25,43.75
C0004,C0019,63.33,36.67
C0004,C0020,46.15,53.85
C0004,C0021,77.78,22.22
C0004,C0022,68.18,31.82
C0004,C0023,50.0,50.0
