From_Category,To_Category,Ratio_of_human_to_shortest
C0001,C0001,1.76
C0001,C0002,1.86
C0001,C0003,1.88
C0001,C0004,1.8
C0001,C0005,1.69
C0001,C0006,1.84
C0001,C0007,1.91
C0001,C0008,1.67
C0001,C0009,1.78
C0001,C0010,1.86
C0001,C0011,1.86
C0001,C0012,1.65
C0001,C0013,1.74
C0001,C0014,1.67
C0001,C0015,1.75
C0001,C0016,1.83
C0001,C0017,1.86
C0001,C0019,2.03
C0001,C0020,2.01
C0001,C0021,1.46
C0001,C0022,1.9
C0001,C0023,2.02
C0001,C0024,1.59
C0001,C0025,1.86
C0001,C0026,1.9
C0001,C0027,1.99
C0001,C0028,1.97
C0001,C0029,1.63
C0001,C0030,1.92
C0001,C0031,1.7
C0001,C0032,1.85
C0001,C0033,1.64
C0001,C0034,1.89
C0001,C0035,1.63
C0001,C0036,1.78
C0001,C0037,2.2
C0001,C0038,1.86
C0001,C0039,2.08
C0001,C0040,2.0
C0001,C0041,1.76
C0001,C0042,1.98
C0001,C0043,2.18
C0001,C0044,1.99
C0001,C0045,1.63
C0001,C0046,1.68
C0001,C0047,1.57
C0001,C0048,2.09
C0001,C0049,1.64
C0001,C0050,1.68
C0001,C0051,1.83
C0001,C0052,1.86
C0001,C0053,1.6
C0001,C0054,1.58
C0001,C0055,1.64
C0001,C0056,1.6
C0001,C0057,1.72
C0001,C0058,1.67
C0001,C0059,1.78
C0001,C0060,1.81
C0001,C0061,1.77
C0001,C0062,1.63
C0001,C0063,1.62
C0001,C0064,1.66
C0001,C0065,1.78
C0001,C0066,1.71
C0001,C0067,1.92
C0001,C0068,1.93
C0001,C0069,1.63
C0001,C0070,1.65
C0001,C0071,1.5
C0001,C0072,1.61
C0001,C0073,1.51
C0001,C0074,1.41
C0001,C0075,1.85
C0001,C0076,2.1
C0001,C0077,1.73
C0001,C0078,1.67
C0001,C0079,1.96
C0001,C0080,2.09
C0001,C0081,2.0
C0001,C0082,2.04
C0001,C0083,1.95
C0001,C0084,1.61
C0001,C0085,1.71
C0001,C0086,1.66
C0001,C0087,1.83
C0001,C0088,1.48
C0001,C0089,1.75
C0001,C0090,1.76
C0001,C0091,2.04
C0001,C0092,1.74
C0001,C0093,1.73
C0001,C0094,1.83
C0001,C0095,1.77
C0001,C0096,1.72
C0001,C0097,1.6
C0001,C0098,1.59
C0001,C0099,1.78
C0001,C0100,1.9
C0001,C0101,1.62
C0001,C0102,2.07
C0001,C0103,1.66
C0001,C0104,1.64
C0001,C0105,1.56
C0001,C0106,1.67
C0001,C0107,1.59
C0001,C0108,1.53
C0001,C0109,1.59
C0001,C0110,1.76
C0001,C0111,1.73
C0001,C0112,1.95
C0001,C0113,2.03
C0001,C0114,1.59
C0001,C0115,1.69
C0001,C0116,1.66
C0001,C0117,1.88
C0001,C0118,1.77
C0001,C0119,1.75
C0001,C0120,1.63
C0001,C0121,1.89
C0001,C0122,1.59
C0001,C0123,1.68
C0001,C0124,1.66
C0001,C0125,1.93
C0001,C0126,1.99
C0001,C0127,1.85
C0001,C0128,1.59
C0001,C0129,1.72
C0001,C0130,1.79
C0001,C0131,1.71
C0001,C0132,1.78
C0001,C0133,1.95
C0001,C0134,1.83
C0001,C0135,1.89
C0001,C0136,1.83
C0001,C0137,2.03
C0001,C0138,1.81
