Human_Path_Length,Shortest_Path_Length,Ratio
8,3,2.67
4,3,1.33
7,3,2.33
3,2,1.5
6,3,2.0
5,3,1.67
3,3,1.0
5,3,1.67
3,3,1.0
6,3,2.0
12,3,4.0
9,3,3.0
4,3,1.33
15,3,5.0
8,3,2.67
4,3,1.33
14,3,4.67
9,3,3.0
7,3,2.33
13,3,4.33
7,3,2.33
6,3,2.0
3,3,1.0
3,3,1.0
4,3,1.33
9,3,3.0
3,3,1.0
6,3,2.0
3,3,1.0
3,3,1.0
4,3,1.33
4,3,1.33
7,3,2.33
3,3,1.0
5,3,1.67
5,3,1.67
15,2,7.5
3,2,1.5
5,2,2.5
5,2,2.5
3,2,1.5
26,3,8.67
9,3,3.0
5,3,1.67
6,3,2.0
6,3,2.0
4,3,1.33
6,3,2.0
5,3,1.67
5,3,1.67
3,2,1.5
9,4,2.25
8,5,1.6
7,3,2.33
4,3,1.33
3,1,3.0
16,2,8.0
21,2,10.5
6,2,3.0
5,2,2.5
3,2,1.5
5,2,2.5
2,2,1.0
4,2,2.0
3,2,1.5
4,3,1.33
7,2,3.5
3,2,1.5
5,2,2.5
3,2,1.5
3,2,1.5
13,3,4.33
5,4,1.25
9,4,2.25
5,3,1.67
4,3,1.33
3,2,1.5
4,3,1.33
7,3,2.33
3,3,1.0
3,3,1.0
4,2,2.0
6,2,3.0
5,2,2.5
4,3,1.33
3,3,1.0
8,4,2.0
10,4,2.5
7,4,1.75
8,4,2.0
17,4,4.25
5,4,1.25
5,4,1.25
4,4,1.0
14,4,3.5
7,4,1.75
7,4,1.75
6,4,1.5
6,4,1.5
5,4,1.25
6,4,1.5
9,4,2.25
5,4,1.25
6,4,1.5
18,4,4.5
14,4,3.5
7,4,1.75
6,4,1.5
4,3,1.33
4,3,1.33
5,2,2.5
4,2,2.0
2,2,1.0
4,2,2.0
2,2,1.0
6,2,3.0
3,2,1.5
4,2,2.0
5,2,2.5
6,2,3.0
2,2,1.0
7,2,3.5
6,3,2.0
4,3,1.33
3,3,1.0
6,3,2.0
10,4,2.5
6,4,1.5
3,3,1.0
20,4,5.0
9,4,2.25
9,4,2.25
13,4,3.25
9,4,2.25
5,3,1.67
6,3,2.0
5,3,1.67
3,3,1.0
5,4,1.25
7,4,1.75
16,4,4.0
5,4,1.25
16,4,4.0
8,4,2.0
7,4,1.75
5,4,1.25
9,4,2.25
6,4,1.5
5,4,1.25
7,4,1.75
6,4,1.5
5,4,1.25
5,4,1.25
5,4,1.25
6,4,1.5
7,4,1.75
7,4,1.75
11,4,2.75
4,4,1.0
13,4,3.25
6,4,1.5
