Crop,Crop_Year,Area,Production
Apple,2002,4.0,0.0
Apple,2003,5.0,0.0
Arcanut (Processed),2002,144116.0,192831.0
Arecanut,1997,260686.0,308584.0
Arecanut,1998,264033.0,797454.0
Arecanut,1999,172792.0,162025.0
Arecanut,2000,303328.0,352915.0
Arecanut,2001,327572.0,374014.0
Arecanut,2002,189845.0,183255.0
Arecanut,2003,355772.0,414529.0
Arecanut,2004,281066.37,340328.05
Arecanut,2005,370899.45,1277052.46
Arecanut,2006,386009.0,529647.3
Arecanut,2007,357428.0,1318525.0
Arecanut,2008,378137.0,1414102.0
Arecanut,2009,383463.0,1458812.0
Arecanut,2010,399306.4999999999,2479449.5100000002
Arecanut,2011,411994.3599999999,1970322.3400000003
Arecanut,2012,407082.0,2007355.0
Arecanut,2013,411642.0,2622235.0
Arecanut,2014,350957.0,2335987.0
Arhar/Tur,1997,3325278.0,1693632.0
Arhar/Tur,1998,3192175.0,2555407.0
Arhar/Tur,1999,2964028.0,2505110.0
Arhar/Tur,2000,3626302.0,2251117.0
Arhar/Tur,2001,3304429.0,2245562.1
Arhar/Tur,2002,2963889.1500000004,1795828.47
Arhar/Tur,2003,3439893.06,2325382.12
Arhar/Tur,2004,2912104.08,1844665.11
Arhar/Tur,2005,2875328.46,2086762.83
Arhar/Tur,2006,3297134.83,2141779.0
Arhar/Tur,2007,2287957.6300000004,1760907.0
Arhar/Tur,2008,3113224.0,2060437.1
Arhar/Tur,2009,3221594.0,2226782.0
Arhar/Tur,2010,4289565.0,2714289.6
Arhar/Tur,2011,3752892.0,2448644.0
Arhar/Tur,2012,3220916.0,2625573.0
Arhar/Tur,2013,3289170.0,2756819.0
Arhar/Tur,2014,2715656.0,1292693.0
Ash Gourd,2002,744.0,0.0
Ash Gourd,2003,900.0,0.0
Atcanut (Raw),2002,144116.0,927250.0
Bajra,1997,9527424.0,7622765.0
Bajra,1998,9330295.0,7061996.0
Bajra,1999,8892668.0,5786557.699999999
Bajra,2000,9912134.0,6904935.2
Bajra,2001,9513740.0,8266184.0
Bajra,2002,7736866.0,4713967.300000001
Bajra,2003,10663550.0,12060751.0
Bajra,2004,9326100.0,8051663.0
Bajra,2005,9676568.0,7118575.8
Bajra,2006,9499237.0,8334550.0
Bajra,2007,8339105.0,8857533.2
Bajra,2008,8774882.0,8900867.0
Bajra,2009,8972422.0,6517369.0
Bajra,2010,9607246.0,12269842.0
Bajra,2011,3752948.0,6073769.0
Bajra,2012,3231616.0,4877053.0
Bajra,2013,2273701.0,3605052.0
Bajra,2014,2110302.0,2657565.8
Banana,1997,216302.0,8577683.0
Banana,1998,191319.0,6246379.0
Banana,1999,237692.0,5784603.0
Banana,2000,299425.0,6614610.0
Banana,2001,208732.0,4212733.0
Banana,2002,299715.0,6371622.0
Banana,2003,367239.0,10951296.0
Banana,2004,284571.52,7779682.52
Banana,2005,348902.8,9755820.129999999
Banana,2006,358134.57,11393879.0
Banana,2007,335154.0,10241292.0
Banana,2008,376387.0,11212644.0
Banana,2009,417236.0,12051070.0
Banana,2010,319391.13999999996,7452894.399999999
Banana,2011,396924.4,12647998.59
Banana,2012,164771.0,4132482.0
Banana,2013,299602.0,8951413.0
Banana,2014,128130.0,1754578.0
Barley,1997,772715.0,1586845.0
Barley,1998,735384.0,1474120.0
Barley,1999,661416.0,1384460.6
Barley,2000,764003.0,1418351.0
Barley,2001,655028.0,1417982.0
Barley,2002,664523.0,1378805.1
Barley,2003,653910.8200000001,1305483.28
Barley,2004,602355.5700000001,1172234.24
