Crop,State,Year,CostperHect,CostperQuint
Rice,Andhra Pradesh,2008,46450.2,789.9
Rice,Andhra Pradesh,2009,54202.54,932.5
Rice,Andhra Pradesh,2010,51505.34,916.98
Rice,Andhra Pradesh,2011,58027.19,976.36
Rice,Andhra Pradesh,2012,68149.69,1135.01
Rice,Andhra Pradesh,2013,72417.05,1248.2
Rice,Odisha,2008,25909.05,715.04
Rice,Odisha,2009,28143.88,793.65
Rice,Odisha,2010,30318.4,955.59
Rice,Odisha,2011,35972.5,1221.44
Rice,Odisha,2012,44091.78,1159.54
Rice,Odisha,2013,46839.15,1408.4
Rice,Punjab,2008,45291.24,669.86
Rice,Punjab,2009,50650.21,773.18
Rice,Punjab,2010,51279.34,836.46
Rice,Punjab,2011,53813.93,904.3
Rice,Punjab,2012,64811.36,945.73
Rice,Punjab,2013,68382.86,1043.27
Rice,Uttar Pradesh,2008,28144.5,732.62
Rice,Uttar Pradesh,2009,32327.78,812.97
Rice,Uttar Pradesh,2010,32299.35,806.87
Rice,Uttar Pradesh,2011,40146.68,957.83
Rice,Uttar Pradesh,2012,43620.87,1019.43
Rice,Uttar Pradesh,2013,45617.43,1031.23
Rice,West Bengal,2008,33046.12,731.25
Rice,West Bengal,2009,38111.55,865.12
Rice,West Bengal,2010,43019.85,1022.83
Rice,West Bengal,2011,49142.99,1085.76
Rice,West Bengal,2012,55982.79,1236.05
Rice,West Bengal,2013,60924.19,1366.8
Wheat,Haryana,2008,37450.75,716.55
Wheat,Haryana,2009,41692.91,832.45
Wheat,Haryana,2010,42323.07,773.05
Wheat,Haryana,2011,51170.51,850.66
Wheat,Haryana,2012,54067.45,1047.78
Wheat,Haryana,2013,60738.72,1051.61
Wheat,Madhya Pradesh,2008,22489.75,810.25
Wheat,Madhya Pradesh,2009,24217.75,808.48
Wheat,Madhya Pradesh,2010,27532.33,834.21
Wheat,Madhya Pradesh,2011,33396.15,851.95
Wheat,Madhya Pradesh,2012,37119.94,958.95
Wheat,Madhya Pradesh,2013,37655.11,1078.96
Wheat,Punjab,2008,35423.48,804.8
Wheat,Punjab,2009,38282.74,816.89
Wheat,Punjab,2010,42983.98,871.74
Wheat,Punjab,2011,49298.84,888.55
Wheat,Punjab,2012,49518.78,981.21
Wheat,Punjab,2013,55202.93,970.47
Wheat,Rajasthan,2008,29876.36,683.58
Wheat,Rajasthan,2009,31794.11,709.16
Wheat,Rajasthan,2010,31630.89,666.87
Wheat,Rajasthan,2011,40286.2,825.94
Wheat,Rajasthan,2012,46942.45,920.63
Wheat,Rajasthan,2013,53014.68,1036.32
Wheat,Uttar Pradesh,2008,31902.74,769.84
Wheat,Uttar Pradesh,2009,33574.7,832.96
Wheat,Uttar Pradesh,2010,35984.44,803.68
Wheat,Uttar Pradesh,2011,42383.57,930.55
Wheat,Uttar Pradesh,2012,44383.07,1058.98
Wheat,Uttar Pradesh,2013,46415.97,1074.57
Maize,Andhra Pradesh,2008,37801.85,840.58
Maize,Andhra Pradesh,2009,38564.55,831.69
Maize,Andhra Pradesh,2010,46228.5,866.46
Maize,Andhra Pradesh,2011,44038.14,891.54
Maize,Andhra Pradesh,2012,54929.2,1095.82
Maize,Andhra Pradesh,2013,62171.86,1302.75
Maize,Bihar,2008,19857.7,404.43
Maize,Bihar,2009,21727.92,541.8
Maize,Bihar,2010,23251.28,517.36
Maize,Bihar,2011,27640.99,754.13
Maize,Bihar,2012,29413.36,785.93
Maize,Bihar,2013,31831.53,1031.69
Maize,Karnataka,2008,20671.54,581.69
Maize,Karnataka,2009,20779.06,666.17
Maize,Karnataka,2010,25946.48,692.08
Maize,Karnataka,2011,36272.45,901.33
Maize,Karnataka,2012,37983.2,1249.37
Maize,Karnataka,2013,43541.86,1062.62
Maize,Rajasthan,2008,19810.29,658.77
Maize,Rajasthan,2009,24170.84,1089.69
Maize,Rajasthan,2010,26344.13,902.46
Maize,Rajasthan,2011,27539.49,1137.58
Maize,Rajasthan,2012,37008.69,1271.73
Maize,Rajasthan,2013,42862.28,1904.7
Maize,Uttar Pradesh,2008,21045.11,1387.36
Maize,Uttar Pradesh,2009,26822.77,1308.53
Maize,Uttar Pradesh,2010,21141.46,966.35
Maize,Uttar Pradesh,2011,26461.18,1256.93
Maize,Uttar Pradesh,2012,31987.34,1453.77
Maize,Uttar Pradesh,2013,36670.76,1636.08
Gram,Andhra Pradesh,2008,26762.09,1559.04
Gram,Andhra Pradesh,2009,25110.13,1960.63
Gram,Andhra Pradesh,2010,27009.25,1975.95
Gram,Andhra Pradesh,2011,28608.56,3727.88
Gram,Andhra Pradesh,2012,37544.9,2985.37
Gram,Andhra Pradesh,2013,38573.69,3094.22
Gram,Madhya Pradesh,2008,NA,1551.94
Gram,Madhya Pradesh,2009,18468.11,1530.3
Gram,Madhya Pradesh,2010,18657.75,1728.81
Gram,Madhya Pradesh,2011,29948.11,2434.9
Gram,Madhya Pradesh,2012,31634.35,2714.67
Gram,Madhya Pradesh,2013,28298.52,2946.02
Gram,Maharashtra,2008,18679.33,2277.68
Gram,Maharashtra,2009,18517.76,2064.82
Gram,Maharashtra,2010,21066.61,2095.84
Gram,Maharashtra,2011,31554.14,2892.72
Gram,Maharashtra,2012,34969.7,2964.75
Gram,Maharashtra,2013,38595.38,2776.56
Gram,Rajasthan,2008,12610.85,1691.66
Gram,Rajasthan,2009,14386.16,1774.28
Gram,Rajasthan,2010,14646.41,1515.53
Gram,Rajasthan,2011,22226.27,2600.39
Gram,Rajasthan,2012,25768.76,2392.52
Gram,Rajasthan,2013,24904.73,2191.97
Gram,Uttar Pradesh,2008,21618.43,1882.68
Gram,Uttar Pradesh,2009,19709.15,2022.28
Gram,Uttar Pradesh,2010,26111.52,1933.6
Gram,Uttar Pradesh,2011,30746.91,2452.04
Gram,Uttar Pradesh,2012,30759.07,3048.41
Gram,Uttar Pradesh,2013,26344.59,5205.84
Arhar,Andhra Pradesh,2008,24171.65,3670.54
Arhar,Andhra Pradesh,2009,30960.04,3149.79
