Crop,Year,CostperQuint,CostperHect,Area in Hectares,Price per quintal,Production in quintals,Revenue per hectare,Income per quintal,Income per hectare,New Income/Hect,New Cost PerHectare
Gram,2008,1551.94,12610.85,7818443.0,1730.0,6998378.2,1548.54,178.05999999999995,2874.5499999999993,159.3835527472669,138.91593330933026
Gram,2009,1530.3,14386.16,7274008.0,1760.0,6876010.0,1663.7,229.70000000000005,2250.84,217.13194390217885,144.6569498273854
Gram,2010,1515.53,14646.41,8862826.0,2100.0,7674255.16,1818.37,584.47,3537.2899999999972,506.08822889732915,131.22861627470516
Gram,2011,2434.9,22226.27,6335184.0,2800.0,5999415.0,2651.6,365.0999999999999,4289.73,345.74945518551624,230.58486672999553
Gram,2012,2392.52,25768.76,6544957.0,3000.0,6702250.0,3072.1,607.48,4952.240000000002,622.0793857010825,245.0018719756295
Groundnut,2008,1918.92,17314.2,6085076.0,2100.0,6378706.6,2201.33,181.07999999999993,4699.0999999999985,189.81787427601554,201.15159890972603
Groundnut,2009,1753.36,19046.88,5432693.0,2100.0,5310310.1,2052.69,346.6400000000001,1480.0200000000004,338.8312008545302,171.38618576341418
Groundnut,2010,2036.06,23374.3,5861460.25,2300.0,8190107.9,3213.75,263.94000000000005,8763.2,368.79838588447313,284.4948251738805
Groundnut,2011,2916.12,35575.79,4877280.0,2700.0,6205979.3,3435.55,-216.1199999999999,-1220.2900000000009,-274.9967699857296,371.0547755371026
Groundnut,2012,3022.92,41102.31,4171486.0,3700.0,3799964.4,3370.47,677.0799999999999,-7397.610000000001,616.7777851710397,275.36921816465406
Maize,2008,404.43,19810.29,7433947.0,840.0,18331296.8,2071.35,435.57,903.2099999999991,1074.0677794953342,99.72799597339072
Maize,2009,541.8,20779.06,7371903.0,840.0,15260108.0,1738.83,298.20000000000005,-3390.760000000002,617.2848727933615,112.15457547935723
Maize,2010,517.36,21141.46,8056623.54,880.0,22062416.22,2409.81,362.64,2956.6399999999994,993.0605021195764,141.6748790471498
Maize,2011,754.13,26461.18,6888187.0,980.0,19307949.4,2746.99,225.87,1008.7199999999975,633.1254553597339,211.38659390376597
Maize,2012,785.93,29413.36,6188793.0,1175.0,17253317.5,3275.7,389.07000000000005,3343.6399999999994,1084.6619429224731,219.10411000618373
Moong(Green Gram),2008,2068.67,7868.64,2738113.0,2520.0,997332.1,917.89,451.3299999999999,1310.2599999999993,164.3927393401952,75.34937364918832
Moong(Green Gram),2009,3095.42,9597.52,3002613.0,2760.0,640078.8,588.36,-335.4200000000001,-3713.92,-71.5027980948594,65.98628325048882
Moong(Green Gram),2010,2678.85,11560.04,3506873.0,3170.0,1792063.7,1619.92,491.1500000000001,4639.16,250.9848763428274,136.89317642084558
Moong(Green Gram),2011,2855.81,13352.63,2097197.0,3500.0,1005520.4,1678.11,644.19,3428.4699999999993,308.8628233189348,136.9244383586282
Moong(Green Gram),2012,4437.37,15277.87,1630416.0,4400.0,735726.7,1985.5,-37.36999999999989,4577.129999999999,-16.8632464223854,200.23672404950636
Rapeseed &Mustard,2008,1251.12,17705.93,5910636.0,1830.0,6913622.7,2140.54,578.8800000000001,3699.470000000001,677.1112124948992,146.34248551973087
Rapeseed &Mustard,2009,1357.13,18682.26,4755605.0,1830.0,5545123.4,2133.81,472.8699999999999,2655.84,551.3751672306677,158.24386844243796
Rapeseed &Mustard,2010,1238.71,20829.25,5482169.0,1850.0,7525819.68,2539.65,611.29,4567.25,839.1675470397208,170.04780581942657
Rapeseed &Mustard,2011,1779.16,28041.38,2970870.0,2500.0,3369974.2,2835.85,720.8399999999999,317.119999999999,817.6770448818023,201.81708717217518
Rapeseed &Mustard,2012,1990.33,30352.12,3114681.0,3000.0,4029443.7,3881.08,1009.6700000000001,8458.680000000004,1306.2038843075745,257.48777096020433
Rice,2008,669.86,25909.05,43597987.0,850.0,95261272.07,1857.24,180.14,-7336.649999999998,393.60453845471807,146.3639037022746
Rice,2009,773.18,28143.88,40583697.0,950.0,87356341.31,2044.87,176.82000000000005,-7695.180000000004,380.604760340937,166.42686834091484
Rice,2010,806.87,30318.4,41766900.5,1000.0,95176207.1,2278.75,193.13,-7530.9000000000015,440.0944445763458,183.8652744241268
Rice,2011,904.3,35972.5,42011893.74,1080.0,102093897.48,2624.53,175.70000000000005,-9727.199999999997,426.9718927275379,219.75565315510102
Rice,2012,945.73,43620.87,47765615.0,1250.0,100330481.0,2625.59,304.27,-17364.97,639.1115335554666,198.64822382404162
Sugarcane,2008,85.79,45239.51,5082080.0,81.18,341180542.7,5449.94,-4.609999999999999,9259.889999999992,-309.4879068898954,575.9428965744931
Sugarcane,2009,100.0,56283.73,4091094.0,129.84,287925668.1,9137.96,29.840000000000003,35095.86999999999,2100.0988821337282,703.7864886507131
